"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2298","0","1033","0","12","0","2","0","3","0","0","0","3348"
"CMCF","1523","452","832","520","21","4","4","3","3","0","0","0","3362"
"SMCI","2136","0","1039","0","42","0","2","0","10","0","0","0","3229"
"County Jails (approved)","883","50","513","72","4","0","2","0","6","0","1","0","1531"
"County Jails (unapproved)","236","17","133","30","4","0","3","0","1","0","0","0","424"
"Youthful Offender Facility","23","0","5","0","1","0","0","0","0","0","0","0","29"
"Private Prisons","3195","0","1046","0","29","0","2","0","6","0","0","0","4278"
"Regional Correctional Facilities","2806","133","1276","161","39","1","3","1","9","0","0","0","4429"
"Community Work Centers","848","68","464","172","1","0","1","0","2","0","1","0","1557"
"Community Trusties","8","0","3","0","0","0","0","0","0","0","0","0","11"
"Pending File Review","34","8","27","2","1","0","0","0","0","0","0","0","72"
"Court Order","198","7","124","25","1","0","1","0","3","0","0","0","359"
"CUSTODY POPULATION","14188","735","0","982","155","5","20","4","43","0","2","0","22629"
"Intensive Supervison Program","642","188","510","257","5","1","4","0","4","2","5","0","1618"
"Earned Release Supervision","1013","86","459","104","4","1","1","0","2","0","0","0","1670"
"Medical Release","17","1","6","2","0","0","0","0","0","0","0","0","26"
"Other Custody","223","10","161","27","48","6","0","1","2","0","4","0","482"
"At Large","20","0","8","2","3","0","0","0","0","0","0","0","33"
"Off-Grounds Medical (Hospital)","2","1","4","2","0","0","0","0","0","0","0","0","9"
"TOTAL","16105","1021","1148","1376","215","13","25","5","51","2","11","0","26467"
"percent_of_total","60.85%","3.86%","4.34%","5.20%",".81%",".05%",".09%",".02%",".19%",".01%",".04%",".00%","100.00%"
