"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2,254","0","944","0","24","0","3","0","8","0","1","0","3,234"
"CMCF","1,512","382","1,047","538","18","5","2","3","11","0","1","0","3,519"
"SMCI","1,659","0","953","0","27","0","4","0","6","0","0","0","2,649"
"County Jails (approved)","376","8","353","10","8","0","0","0","2","0","1","0","758"
"County Jails (unapproved)","159","4","123","23","1","0","0","0","1","0","1","0","312"
"Youthful Offender Facility","21","1","4","0","0","0","0","0","0","0","0","0","26"
"Private Prisons","2,280","0","882","0","16","0","8","0","1","0","0","0","3,187"
"Regional Correctional Facilities","2,652","51","1,428","106","60","2","9","0","9","0","0","0","4,317"
"Community Work Centers","257","26","172","110","3","1","1","2","2","0","0","0","574"
"Community Trusties","6","0","7","2","0","0","0","0","0","0","0","0","15"
"TVC","51","0","27","0","0","0","0","0","0","0","0","0","78"
"Transitional Housing","6","0","7","2","0","0","0","0","0","0","0","0","15"
"Pending File Review","34","4","34","2","0","0","0","0","1","0","0","0","75"
"RRP","22","4","23","30","0","1","0","0","0","0","0","0","80"
"Court Order","106","0","112","14","0","0","0","0","1","0","0","0","233"
"","11,395","480","6,116","837","157","9","27","5","42","0","4","0","19,072"
"Intensive Supervison Program","359","74","284","135","1","0","0","0","0","2","1","0","856"
"Earned Release Supervision","396","22","131","32","2","1","0","1","2","0","1","0","588"
"Medical Release","5","0","9","0","0","0","0","0","0","0","0","0","14"
"Other Custody","259","6","177","25","28","0","0","0","2","0","1","0","498"
"At Large","14","0","5","2","3","0","0","0","0","0","0","0","24"
"Conditional Release","1","0","0","2","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","6","0","2","0","0","0","0","0","0","0","0","0","8"
"TOTAL","12,437","582","6,728","1,033","191","10","27","6","46","2","7","0","21,069"
"% OF TOTAL OFFENDERS","59.03%","2.76%","31.93%","4.90%",".91%",".05%",".13%",".03%",".22%",".01%",".03%",".00%","100.00%"
