"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3387","1","1254","0","41","0","5","0","4","0","1","0","4693"
"CMCF","1076","798","625","624","10","7","1","0","0","4","0","1","3146"
"SMCI","1444","0","687","0","24","0","1","0","7","0","0","0","2163"
"County Jails (approved)","924","61","549","86","8","1","3","1","4","0","7","1","1645"
"County Jails (unapproved)","133","13","120","29","2","0","0","0","2","1","3","0","303"
"Private Prisons","3458","0","1199","0","15","0","3","0","7","0","0","0","4682"
"Regional Correctional Facilities","1990","0","725","0","16","0","0","0","3","0","0","0","2734"
"Community Work Centers","1058","116","440","99","4","0","0","0","3","0","0","0","1720"
"Community Trusties","8","0","9","0","0","0","1","0","0","0","0","0","18"
"Pending File Review","93","13","66","12","1","0","0","0","0","0","0","0","185"
"CUSTODY POPULATION","13571","1002","5674","850","121","8","14","1","30","5","11","2","21289"
"Intensive Supervison Program","548","102","434","152","5","0","5","2","1","0","6","3","1258"
"Earned Release Supervision","1010","110","383","54","5","1","1","0","2","0","0","0","1566"
"Medical Release","2","0","0","1","0","0","0","0","0","0","0","0","3"
"Other Custody/At Large","158","9","135","15","10","1","0","0","0","0","0","0","328"
"Off-Grounds Medical (Hospital)","4","1","3","1","0","0","0","0","0","0","0","0","9"
"TOTAL","15293","1224","6629","1073","141","10","20","3","33","5","17","5","24453"
"% of Total Offenses","62.54%","5.01%","27.11%","4.39%","0.58%","0.04%","0.08%","0.01%","0.13%","0.02%","0.07%","0.02%","100.00%"
