"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2238","0","1025","0","17","0","1","0","4","0","0","0","3285"
"CMCF","1352","433","772","519","25","8","3","2","3","1","1","0","3119"
"SMCI","2126","0","1002","0","42","0","4","0","2","0","0","0","3176"
"County Jails (approved)","711","45","432","75","7","1","2","0","1","0","1","0","1275"
"County Jails (unapproved)","339","4","222","13","1","0","0","0","1","0","2","0","582"
"Private Prisons","3110","0","1044","0","21","0","3","0","9","0","0","0","4187"
"Regional Correctional Facilities","2715","125","1204","161","37","1","2","0","4","1","2","0","4252"
"Community Work Centers","901","63","440","143","3","1","1","0","3","0","0","0","1555"
"Community Trusties","8","0","2","0","0","0","0","0","0","0","0","0","10"
"Pending File Review","39","5","20","2","1","0","0","0","0","0","0","0","67"
"Court Order","215","5","148","20","3","0","0","0","2","0","0","0","393"
"CUSTODY POPULATION","13754","680","6311","933","157","11","16","2","29","2","6","0","21901"
"Intensive Supervison Program","602","152","531","250","6","1","3","1","1","0","1","1","1549"
"Earned Release Supervision","999","86","449","77","6","0","0","0","2","0","0","0","1619"
"Medical Release","16","1","4","1","0","0","0","0","0","0","0","0","22"
"Other Custody","200","11","154","19","43","4","0","1","2","0","4","0","438"
"At Large","22","0","11","2","3","0","0","0","0","0","0","0","38"
"Off-Grounds Medical (Hospital)","2","1","2","0","0","0","0","0","0","0","0","0","5"
"TOTAL","15595","931","7462","1282","215","16","19","4","34","2","11","1","25572"
"percent_of_total","60.98%","3.64%","29.18%","5.01%",".84%",".06%",".07%",".02%",".13%",".01%",".04%",".00%","100.00%"
