"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3249","1","1236","0","33","0","4","0","7","0","0","0","4530"
"CMCF","1188","747","691","659","11","6","0","0","1","3","1","0","3307"
"SMCI","1482","0","743","0","22","0","3","0","5","0","0","0","2255"
"County Jails (approved)","730","67","465","78","7","4","2","0","1","0","8","1","1363"
"County Jails (unapproved)","100","6","43","6","1","0","0","0","1","0","3","0","160"
"Private Prisons","3653","0","1171","0","24","0","3","0","7","0","3","0","4861"
"Regional Correctional Facilities","2207","0","832","0","17","0","3","0","6","0","1","0","3066"
"Community Work Centers","1064","109","476","106","14","3","4","1","3","0","0","0","1780"
"Community Trusties","13","0","5","0","0","0","0","0","0","0","0","0","18"
"Pending File Review","30","4","16","9","0","0","0","0","0","0","0","0","59"
"Court Order","135","9","108","35","0","0","1","0","0","0","0","0","288"
"CUSTODY POPULATION","13851","943","5786","893","129","13","20","1","31","3","16","1","21687"
"Intensive Supervison Program","569","169","499","209","11","1","1","0","1","0","10","3","1473"
"Earned Release Supervision","1059","100","432","90","8","1","3","0","0","0","0","0","1693"
"Medical Release","5","0","4","0","0","0","0","0","0","0","0","0","9"
"Other Custody","138","9","117","15","28","0","0","0","3","0","2","1","313"
"At Large","82","4","30","4","5","0","0","0","1","0","0","0","126"
"Off-Grounds Medical (Hospital)","1","1","2","1","0","0","0","0","0","0","0","0","5"
"TOTAL","15705","1226","6870","1212","181","15","24","1","36","3","28","5","25306"
"% OF TOTAL_offenses","62.06%","4.84%","27.15%","4.79%","0.72%","0.06%","0.09%","0.00%","0.14%","0.01%","0.11%","0.02%","100.00%"
