"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3911","1","1426","0","18","0","2","0","1","0","0","0","5359"
"CMCF","1085","789","626","467","6","3","3","3","1","2","0","0","2985"
"SMCI","1422","0","608","0","15","0","2","0","3","0","0","0","2050"
"County Jails (approved)","1021","74","523","47","9","4","5","1","1","0","0","0","1685"
"County Jails (unapproved)","81","10","68","7","1","1","0","0","1","1","0","0","170"
"Private Prisons","2873","0","791","0","8","0","3","0","3","0","0","0","3678"
"Regional Correctional Facilities","1588","0","430","0","3","0","2","0","1","0","0","0","2024"
"Community Work Centers","861","84","303","61","4","0","1","0","2","1","1","0","1318"
"Community Trusties","13","0","8","0","0","0","0","0","0","0","0","0","21"
"","12855","958","4783","582","64","8","18","4","13","4","1","0","19290"
"Intensive Supervison Program","697","115","490","142","4","1","2","0","2","0","0","0","1453"
"Earned Release Supervision","695","64","249","32","2","0","2","1","1","0","0","0","1046"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","102","8","101","14","4","0","0","0","0","1","0","0","230"
"At Large","56","5","23","3","1","0","0","0","1","0","0","0","89"
"University of MS Medical Center","5","0","4","0","0","0","0","0","0","0","0","0","9"
"TOTAL","14410","1150","5650","773","75","9","22","5","17","5","1","0","22117"
"% of Total Offenses","65.15%","5.20%","25.55%","3.50%","0.34%","0.04%","0.10%","0.02%","0.08%","0.02%","0.00%","0.00%","100.00%"
