"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2319","0","1034","0","11","0","2","0","3","0","0","0","3369"
"CMCF","1481","446","821","501","22","4","4","2","3","0","0","0","3284"
"SMCI","2117","0","1035","0","42","0","3","0","10","0","0","0","3207"
"Youthful Offender Facility","23","0","4","0","1","0","0","0","0","0","0","0","28"
"County Jails (approved)","857","45","520","62","3","0","2","0","8","0","0","0","1497"
"County Jails (unapproved)","319","21","153","34","3","0","1","1","0","0","0","0","532"
"Private Prisons","3213","0","1060","0","27","0","1","0","6","0","0","0","4307"
"Regional Correctional Facilities","2754","141","1248","168","36","1","2","1","8","0","0","0","4359"
"Community Work Centers","841","76","451","170","2","0","1","0","1","0","1","0","1543"
"Community Trusties","9","0","4","0","0","0","0","0","0","0","0","0","13"
"Pending File Review","24","9","16","3","1","0","0","0","0","0","0","0","53"
"Court Order","193","5","102","32","1","0","1","0","3","0","0","0","337"
"CUSTODY POPULATION","14150","743","0","970","149","5","17","4","42","0","1","0","22529"
"Intensive Supervison Program","644","177","504","263","4","1","4","0","4","2","5","0","1608"
"Earned Release Supervision","1014","86","455","101","5","1","1","0","3","0","0","0","1666"
"Medical Release","18","1","6","2","0","0","0","0","0","0","0","0","27"
"Other Custody","223","9","162","26","48","5","0","1","2","0","4","0","480"
"At Large","20","0","8","2","3","0","0","0","0","0","0","0","33"
"Off-Grounds Medical (Hospital)","4","2","5","1","0","0","0","0","0","0","0","0","12"
"TOTAL","16073","1018","1140","1365","209","12","22","5","51","2","10","0","26355"
"percent_of_total","60.99%","3.86%","4.33%","5.18%",".79%",".05%",".08%",".02%",".19%",".01%",".04%",".00%","100.00%"
