"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3232","3","1175","0","30","0","3","0","5","0","1","0","4449"
"CMCF","1173","796","673","686","17","5","3","2","0","4","0","0","3359"
"SMCI","1786","0","912","0","38","0","1","0","10","0","0","0","2747"
"County Jails (approved)","688","68","454","75","13","2","1","0","3","0","10","0","1314"
"County Jails (unapproved)","79","6","59","13","4","0","0","0","1","0","1","0","163"
"Private Prisons","3604","0","1126","0","23","0","5","0","6","0","2","0","4766"
"Regional Correctional Facilities","2151","0","848","0","19","0","2","0","6","0","0","0","3026"
"Community Work Centers","1049","99","490","113","8","0","1","2","2","0","0","0","1764"
"Community Trusties","15","0","3","0","0","0","0","0","0","0","0","0","18"
"Pending File Review","61","5","23","6","1","0","0","0","0","0","0","0","96"
"Court Order","155","8","104","41","0","0","2","0","0","0","0","0","310"
"CUSTODY POPULATION","13993","985","5867","934","153","7","18","4","33","4","14","0","22012"
"Intensive Supervison Program","425","112","415","176","7","2","1","1","0","1","4","1","1145"
"Earned Release Supervision","1043","92","440","72","2","3","3","0","1","0","0","0","1656"
"Medical Release","4","0","4","0","0","0","0","0","0","0","0","0","8"
"Other Custody","127","9","120","14","33","3","0","0","4","0","3","1","314"
"At Large","50","2","18","3","5","0","0","0","1","0","0","0","79"
"Off-Grounds Medical (Hospital)","1","0","6","2","0","0","0","0","0","0","0","0","9"
"TOTAL","15643","1200","6870","1201","200","15","22","5","39","5","21","2","25223"
"% OF TOTAL_offenses","62.02%","4.76%","27.24%","4.76%","0.79%","0.06%","0.09%","0.02%","0.15%","0.02%","0.08%","0.01%","100.00%"
