"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","4191","1","1470","0","33","0","7","0","6","0","0","0","5708"
"CMCF","1067","833","612","559","11","5","3","0","3","5","0","0","3098"
"SMCI","1333","0","684","0","22","0","4","0","5","0","0","0","2048"
"County Jails (approved)","1009","41","614","49","8","2","2","2","5","0","0","0","1732"
"County Jails (unapproved)","80","9","86","20","1","0","0","0","1","0","0","0","197"
"Private Prisons","2506","0","919","0","7","0","2","0","4","0","0","0","3438"
"Regional Correctional Facilities","2138","0","598","0","12","0","0","0","2","0","0","0","2750"
"Community Work Centers","941","115","378","117","5","0","0","0","2","0","0","0","1558"
"Community Trusties","15","0","7","0","0","0","0","0","0","0","0","0","22"
"CUSTODY POPULATION","13280","999","5368","745","99","7","18","2","28","5","0","0","20551"
"Intensive Supervison Program","581","114","491","172","6","1","2","2","3","0","0","0","1372"
"Earned Release Supervision","851","88","257","40","2","0","0","1","0","1","0","0","1240"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","111","4","102","10","3","0","0","0","0","0","0","0","230"
"At Large","87","7","47","9","2","0","0","0","0","1","0","0","153"
"University of MS Medical Center","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","14910","1212","6265","976","112","8","20","5","31","7","0","0","23546"
"% of Total Offenses","63.32%","5.15%","26.61%","4.15%","0.48%","0.03%","0.08%","0.02%","0.13%","0.03%","0.00%","0.00%","100.00%"
