"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3058","2","1124","0","30","0","0","0","6","0","0","0","4220"
"CMCF","1357","792","745","700","12","6","4","0","5","2","1","0","3624"
"SMCI","2064","0","1004","0","51","0","2","0","9","0","0","0","3130"
"County Jails (approved)","697","67","467","75","14","1","0","0","2","0","10","0","1333"
"County Jails (unapproved)","126","10","71","14","0","0","0","0","3","0","0","0","224"
"Private Prisons","3624","0","1119","0","28","0","5","0","6","0","4","0","4786"
"Regional Correctional Facilities","2180","0","815","0","28","0","3","0","5","0","0","0","3031"
"Community Work Centers","1013","110","483","134","8","0","1","2","2","0","0","0","1753"
"Community Trusties","14","0","4","0","0","0","0","0","0","0","0","0","18"
"Pending File Review","70","2","22","6","2","0","0","0","0","0","0","0","102"
"Court Order","187","9","114","39","0","0","1","0","0","0","0","0","350"
"CUSTODY POPULATION","14390","992","5968","968","173","7","16","2","38","2","15","0","22571"
"Intensive Supervison Program","423","142","385","175","9","2","1","0","1","3","7","5","1153"
"Earned Release Supervision","1078","116","435","94","3","1","2","0","1","0","0","0","1730"
"Medical Release","6","1","7","0","0","0","0","0","0","0","0","0","14"
"Other Custody","128","9","115","13","34","3","0","0","3","0","3","1","309"
"At Large","44","2","14","2","4","0","0","0","0","0","0","0","66"
"Off-Grounds Medical (Hospital)","1","0","3","0","0","0","0","0","0","0","0","0","4"
"TOTAL","16070","1262","6927","1252","223","13","19","2","43","5","25","6","25847"
"% OF TOTAL_offenses","62.17%","4.88%","26.80%","4.84%","0.86%","0.05%","0.07%","0.01%","0.17%","0.02%","0.10%","0.02%","100.00%"
