"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,793","2","1,100","0","20","0","2","0","3","0","0","0","3,920"
"CMCF","1,244","586","752","592","12","8","0","2","3","1","0","0","3,200"
"SMCI","1,911","0","994","0","52","0","4","0","3","0","0","0","2,964"
"County Jails (approved)","596","73","340","96","4","1","0","0","1","0","1","0","1,112"
"County Jails (unapproved)","82","12","49","15","0","0","0","0","0","0","1","0","159"
"Private Prisons","3,870","0","1,356","0","34","0","6","0","8","0","1","0","5,275"
"Regional Correctional Facilities","1,900","45","789","30","24","0","5","0","5","0","2","0","2,800"
"Community Work Centers","1,061","92","470","150","9","3","2","2","0","0","0","0","1,789"
"Community Trusties","12","0","4","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","37","4","29","12","1","0","0","0","0","0","0","0","83"
"Court Order","114","9","68","12","0","0","0","0","0","0","0","0","203"
"","13,620","823","5,951","907","156","12","19","4","23","1","5","0","21,521"
"Intensive Supervison Program","583","141","460","209","9","0","3","1","5","0","2","0","1,413"
"Earned Release Supervision","927","74","352","51","8","0","2","0","1","0","0","0","1,415"
"Medical Release","18","7","8","2","0","0","0","0","0","0","0","0","35"
"Other Custody","158","11","116","15","44","3","0","1","2","0","4","0","354"
"At Large","25","0","15","2","3","0","0","0","0","0","0","0","45"
"Off-Grounds Medical (Hospital)","6","0","4","0","0","0","0","0","0","0","0","0","10"
"TOTAL","15,337","1,056","6,906","1,186","220","15","24","6","31","1","11","0","24,793"
"% OF TOTAL OFFENSES","61.86%","4.26%","27.85%","4.78%","0.89%","0.06%","0.10%","0.02%","0.13%","0.00%","0.04%","0.00%","100.00%"
