"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3216","2","1161","0","32","0","1","0","5","0","1","0","4418"
"CMCF","1206","794","719","705","15","5","3","2","4","2","1","0","3456"
"SMCI","1806","0","937","0","44","0","2","0","9","0","0","0","2798"
"County Jails (approved)","714","68","447","78","9","2","2","0","2","0","13","0","1335"
"County Jails (unapproved)","146","14","54","14","4","0","0","0","1","1","8","0","242"
"Private Prisons","3587","0","1141","0","25","0","5","0","6","0","2","0","4766"
"Regional Correctional Facilities","2156","0","836","0","20","0","2","0","6","0","0","0","3020"
"Community Work Centers","1023","99","470","112","8","0","1","2","3","0","0","0","1718"
"Community Trusties","15","0","3","0","0","0","0","0","0","0","0","0","18"
"Pending File Review","68","3","34","3","1","0","0","0","0","0","0","0","109"
"Court Order","158","14","116","35","0","0","2","0","0","0","0","0","325"
"","14095","994","5918","947","158","7","18","4","36","3","25","0","22205"
"Intensive Supervison Program","421","117","396","187","4","2","1","1","0","1","4","4","1138"
"Earned Release Supervision","1074","94","441","78","2","2","2","0","1","0","0","0","1694"
"Medical Release","5","1","7","0","0","0","0","0","0","0","0","0","13"
"Other Custody","126","9","121","13","34","3","0","0","4","0","4","1","315"
"At Large","49","2","18","2","5","0","0","0","1","0","0","0","77"
"Off-Grounds Medical (Hospital)","5","0","4","1","0","0","0","0","0","0","0","0","10"
"TOTAL","15775","1217","6905","1228","203","14","21","5","42","4","33","5","25452"
"% OF TOTAL_offenses","61.98%","4.78%","27.13%","4.82%","0.80%","0.06%","0.08%","0.02%","0.17%","0.02%","0.13%","0.02%","100.00%"
