"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2109","0","931","0","13","0","2","0","3","0","0","0","3058"
"CMCF","1261","444","756","542","16","2","3","3","3","2","0","0","3032"
"SMCI","2093","0","1057","0","38","0","4","0","6","0","0","0","3198"
"County Jails (approved)","713","45","423","93","4","1","1","0","0","0","1","0","1281"
"County Jails (unapproved)","195","2","134","6","2","0","0","0","0","0","1","0","340"
"Private Prisons","3855","0","1257","0","34","0","6","0","9","0","0","0","5161"
"Regional Correctional Facilities","2124","96","1045","130","32","1","3","0","4","0","3","0","3438"
"Community Work Centers","887","53","413","134","6","2","3","0","3","1","0","0","1502"
"Community Trusties","9","0","7","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","69","6","38","26","2","0","0","0","0","0","0","0","141"
"Court Order","195","9","96","20","0","0","0","0","1","0","0","0","321"
"","13510","655","6157","951","147","6","22","3","29","3","5","0","21488"
"Intensive Supervison Program","611","155","553","255","8","2","3","1","3","0","4","1","1596"
"Earned Release Supervision","960","93","381","76","2","1","1","0","0","0","0","0","1514"
"Medical Release","18","5","6","3","0","0","0","0","0","0","0","0","32"
"Other Custody","186","7","137","20","45","4","1","1","3","0","5","0","409"
"At Large","21","0","11","2","3","0","0","0","0","0","0","0","37"
"Off-Grounds Medical (Hospital)","3","2","1","2","0","0","0","0","0","0","0","0","8"
"TOTAL","15309","917","7246","1309","205","13","27","5","35","3","14","1","25084"
"percent_of_total","61.03%","3.66%","28.89%","5.22%",".82%",".05%",".11%",".02%",".14%",".01%",".06%",".00%","100.00%"
