"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3027","2","1124","0","30","0","1","0","5","0","1","0","4190"
"CMCF","1418","789","733","698","18","6","2","0","5","2","0","0","3671"
"SMCI","2118","0","939","0","49","0","2","0","10","0","0","0","3118"
"County Jails (approved)","784","73","460","81","9","1","1","1","2","0","5","0","1417"
"County Jails (unapproved)","100","7","60","16","3","2","0","0","0","0","1","2","191"
"Private Prisons","3614","0","1131","0","30","0","5","0","8","0","3","0","4791"
"Regional Correctional Facilities","2175","0","863","0","24","0","3","0","5","0","0","0","3070"
"Community Work Centers","980","101","467","132","8","0","2","1","0","0","0","0","1691"
"Community Trusties","13","0","6","0","0","0","0","0","0","0","0","0","19"
"Pending File Review","132","17","77","23","1","0","0","0","1","0","0","0","251"
"Court Order","167","15","137","37","0","0","0","0","1","0","0","0","357"
"CUSTODY POPULATION","14528","1004","5997","987","172","9","16","2","37","2","10","2","22766"
"Intensive Supervison Program","447","132","389","160","9","2","1","1","1","4","7","3","1156"
"Earned Release Supervision","1104","115","467","99","5","1","1","0","0","0","0","0","1792"
"Medical Release","7","1","13","0","0","0","0","0","0","0","0","0","21"
"Other Custody","122","11","113","13","36","3","0","0","3","0","3","1","305"
"At Large","40","2","15","2","4","0","0","0","0","0","0","0","63"
"Off-Grounds Medical (Hospital)","3","0","1","0","0","0","0","0","0","0","0","0","4"
"TOTAL","16251","1265","6995","1261","226","15","18","3","41","6","20","6","26107"
"% OF TOTAL_offenses","62.25%","4.85%","26.79%","4.83%","0.87%","0.06%","0.07%","0.01%","0.16%","0.02%","0.08%","0.02%","100.00%"
