"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2114","0","963","0","20","0","4","0","6","0","1","0","3108"
"CMCF","833","365","445","405","6","5","3","2","3","2","0","0","2069"
"SMCI","1513","0","867","0","32","0","1","0","8","0","0","0","2421"
"County Jails (approved)","620","27","380","43","4","0","0","0","0","1","0","0","1075"
"County Jails (unapproved)","79","5","46","7","1","0","0","0","0","0","0","0","138"
"Youthful Offender Facility","23","0","4","0","0","0","0","0","0","0","0","0","27"
"Private Prisons","3134","0","1022","0","38","0","8","0","8","0","0","0","4210"
"Regional Correctional Facilities","2657","120","1161","142","36","3","2","0","7","0","0","0","4128"
"Community Work Centers","599","56","291","116","0","1","2","0","1","0","2","0","1068"
"Community Trusties","6","0","3","0","0","0","0","0","0","0","0","0","9"
"Pending File Review","32","5","19","5","1","0","0","0","1","0","0","0","63"
"Court Order","141","6","88","21","1","0","0","0","0","1","0","0","258"
"CUSTODY POPULATION","11751","584","5289","739","139","9","20","2","34","4","3","0","18574"
"Intensive Supervison Program","491","132","387","231","5","4","0","2","3","0","1","1","1257"
"Earned Release Supervision","672","60","222","44","4","0","2","0","1","0","0","0","1005"
"Medical Release","10","0","7","2","0","0","0","0","0","0","0","0","19"
"Other Custody","246","11","186","20","49","6","2","1","4","0","3","0","528"
"At Large","16","0","6","2","3","0","0","0","0","0","0","0","27"
"Off-Grounds Medical (Hospital)","4","0","5","0","0","0","0","0","0","0","0","0","9"
"TOTAL","13190","787","6102","1038","200","19","24","5","42","4","7","1","21419"
"percent_of_total","61.58%","3.67%","28.49%","4.85%",".93%",".09%",".11%",".02%",".20%",".02%",".03%",".00%","100.00%"
