"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","1,869","0","837","0","19","0","0","0","6","0","1","0","2,732"
"CMCF","1,449","380","1,041","537","23","5","5","3","11","0","0","0","3,454"
"SMCI","1,671","0","939","0","25","0","2","0","8","0","0","0","2,645"
"County Jails (approved)","370","5","382","14","8","0","1","0","2","0","2","0","784"
"County Jails (unapproved)","222","15","142","25","8","0","1","0","2","0","1","2","418"
"Youthful Offender Facility","18","1","1","0","0","0","0","0","0","0","0","0","20"
"Private Prisons","2,507","0","919","0","21","0","8","0","2","0","0","0","3,457"
"Regional Correctional Facilities","2,693","49","1,459","82","59","2","8","0","12","0","1","0","4,365"
"Community Work Centers","234","28","159","125","3","1","1","2","1","0","0","0","554"
"Community Trusties","5","0","0","0","0","0","0","0","0","0","0","0","5"
"TVC","52","0","19","0","0","0","0","0","0","0","0","0","71"
"Transitional Housing","2","0","4","1","1","0","0","0","0","0","0","0","8"
"Pending File Review","45","2","44","9","0","0","0","0","1","0","0","0","101"
"RRP","20","2","27","19","0","0","0","0","0","0","0","1","69"
"Court Order","114","4","104","10","1","0","0","0","2","0","0","0","235"
"","11,271","486","6,077","822","168","8","26","5","47","0","5","3","18,918"
"Intensive Supervison Program","368","76","312","138","3","0","0","0","0","2","2","0","901"
"Earned Release Supervision","386","21","96","26","1","1","0","1","1","0","1","0","534"
"Medical Release","7","0","10","0","0","0","0","0","0","0","0","0","17"
"Other Custody","240","5","177","17","27","0","0","0","2","0","1","0","469"
"At Large","14","0","5","2","3","0","0","0","0","0","0","0","24"
"Conditional Release","1","0","0","2","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","12","0","4","0","0","0","0","0","0","0","0","0","16"
"TOTAL","12,301","588","6,685","1,007","202","9","26","6","50","0","9","3","20,888"
"% OF TOTAL OFFENDERS","58.89%","2.82%","32.00%","4.82%",".97%",".04%",".12%",".03%",".24%",".00%",".04%",".01%","100.00%"
