"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","4189","0","1465","0","35","0","6","0","8","0","1","0","5704"
"CMCF","1132","836","631","597","21","6","2","1","1","4","0","0","3231"
"SMCI","1347","0","698","0","0","0","0","0","0","0","0","0","2045"
"County Jails (approved)","1060","59","692","55","11","1","3","1","4","0","7","0","1893"
"County Jails (unapproved)","120","14","88","23","1","0","0","0","1","0","1","1","249"
"Private Prisons","2475","0","945","0","8","0","2","0","4","0","0","0","3434"
"Regional Correctional Facilities","2104","0","626","0","12","0","1","0","3","0","0","0","2746"
"Community Work Centers","1012","116","405","95","6","0","1","0","2","0","1","0","1638"
"Community Trusties","15","0","7","0","0","0","0","0","0","0","0","0","22"
"CUSTODY POPULATION","13454","1025","5557","770","94","7","15","2","23","4","10","1","20962"
"Intensive Supervison Program","563","92","436","170","7","2","3","2","3","0","1","2","1281"
"Earned Release Supervision","838","85","264","33","2","0","1","0","1","0","0","0","1224"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody/At Large","137","3","110","12","4","0","0","0","0","0","0","0","266"
"University of MS Medical Center","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","14992","1205","6367","985","107","9","19","4","27","4","11","3","23733"
"% of Total Offenses","63.17%","5.08%","26.83%","4.15%","0.45%","0.04%","0.08%","0.02%","0.11%","0.02%","0.05%","0.01%","100.00%"
