"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2260","0","1084","0","18","0","3","0","7","0","1","0","3373"
"CMCF","1459","352","802","512","25","11","5","3","5","1","0","1","3176"
"SMCI","1947","0","1006","0","23","0","3","0","5","0","0","0","2984"
"County Jails (approved)","480","10","354","25","7","0","3","0","1","0","1","0","881"
"County Jails (unapproved)","192","14","137","18","3","0","1","0","1","0","0","0","366"
"Youthful Offender Facility","28","0","1","0","1","0","0","0","0","0","0","0","30"
"Private Prisons","2720","0","1003","0","32","0","10","0","5","0","0","0","3770"
"Regional Correctional Facilities","2189","101","1082","117","29","4","1","0","12","0","0","0","3535"
"Community Work Centers","472","41","243","118","2","2","3","0","3","0","1","0","885"
"Community Trusties","32","0","15","0","0","0","0","0","0","0","0","0","47"
"Pending File Review","55","7","31","12","0","0","0","0","2","0","0","0","107"
"Court Order","134","7","112","16","0","0","0","0","1","0","0","0","270"
"CUSTODY POPULATION","11968","532","5870","818","140","17","29","3","42","1","3","1","19424"
"Intensive Supervison Program","263","93","226","107","3","2","1","1","4","0","0","0","700"
"Earned Release Supervision","457","52","152","39","5","0","1","0","1","0","0","0","707"
"Medical Release","8","0","4","2","0","0","0","0","0","0","0","0","14"
"Other Custody","229","13","212","28","42","3","1","1","3","0","3","0","535"
"Transitional Housing","2","0","1","0","0","0","0","0","0","0","0","0","3"
"At Large","15","0","6","2","3","0","0","0","0","0","0","0","26"
"Conditional Release","0","0","1","1","0","0","0","0","0","0","0","0","2"
"RRP","1","0","1","0","0","0","0","0","0","0","0","0","2"
"TVC","0","2","0","7","0","0","0","0","0","0","0","0","9"
"Off-Grounds Medical (Hospital)","5","0","2","1","0","0","0","0","0","0","0","0","8"
"TOTAL","12948","692","6475","1005","193","22","32","5","50","1","6","1","21430"
"percent_of_total","60.42%","3.23%","30.21%","4.69%",".90%",".10%",".15%",".02%",".23%",".00%",".03%",".00%","100.00%"
