"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3236","2","1166","0","31","0","5","0","5","0","0","0","4445"
"CMCF","1279","764","663","678","11","5","3","3","3","4","2","0","3415"
"SMCI","1487","0","780","0","28","0","2","0","5","0","1","0","2303"
"County Jails (approved)","654","53","512","66","9","4","1","1","2","0","6","0","1308"
"County Jails (unapproved)","79","11","50","10","2","0","0","0","0","0","1","0","153"
"Private Prisons","3675","0","1179","0","29","0","3","0","8","0","4","0","4898"
"Regional Correctional Facilities","2196","0","848","0","17","0","1","0","6","0","1","0","3069"
"Community Work Centers","1046","111","487","103","11","1","6","0","3","0","1","0","1769"
"Community Trusties","14","0","3","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","24","3","11","9","0","0","0","0","0","0","0","0","47"
"Court Order","161","12","125","41","0","0","1","0","0","1","0","0","341"
"CUSTODY POPULATION","13851","956","5824","907","138","10","22","4","32","5","16","0","21765"
"Intensive Supervison Program","544","159","516","206","11","1","2","1","2","0","7","2","1451"
"Earned Release Supervision","1063","102","408","79","3","2","2","0","1","0","0","0","1660"
"Medical Release","4","0","4","0","0","0","0","0","0","0","0","0","8"
"Other Custody","125","8","113","12","31","1","0","0","3","0","3","1","297"
"At Large","71","4","21","4","5","0","0","0","1","0","0","0","106"
"Off-Grounds Medical (Hospital)","3","1","1","2","0","0","0","0","0","0","0","0","7"
"TOTAL","15661","1230","6887","1210","188","14","26","5","39","5","26","3","25294"
"% OF TOTAL_offenses","61.92%","4.86%","27.23%","4.78%","0.74%","0.06%","0.10%","0.02%","0.15%","0.02%","0.10%","0.01%","100.00%"
