"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2309","0","1054","0","12","0","0","0","4","0","0","0","3379"
"CMCF","1497","440","815","524","21","5","3","2","6","0","1","0","3314"
"SMCI","2131","0","990","0","50","0","5","0","7","0","0","0","3183"
"County Jails (approved)","845","36","555","58","5","0","5","0","6","0","0","0","1510"
"County Jails (unapproved)","218","13","121","21","4","0","2","0","2","0","1","1","383"
"Private Prisons","3205","0","1018","0","27","0","2","0","3","0","0","0","4255"
"Regional Correctional Facilities","2699","142","1297","153","40","1","2","1","10","0","2","0","4347"
"Community Work Centers","764","80","448","165","4","1","1","0","2","0","1","0","1466"
"Community Trusties","10","0","4","0","0","0","0","0","0","0","0","0","14"
"Pending File Review","11","1","13","2","1","0","0","0","0","0","0","0","28"
"Court Order","219","6","153","22","0","0","0","1","0","0","0","0","401"
"CUSTODY POPULATION","13908","718","6468","945","164","7","20","4","40","0","5","1","22280"
"Intensive Supervison Program","656","163","541","281","6","1","3","0","4","2","6","0","1663"
"Earned Release Supervision","1007","92","435","72","5","0","0","0","1","1","0","0","1613"
"Medical Release","16","1","6","2","0","0","0","0","0","0","0","0","25"
"Other Custody","212","10","158","20","44","5","0","1","2","0","4","0","456"
"At Large","21","0","8","2","3","0","0","0","0","0","0","0","34"
"Off-Grounds Medical (Hospital)","5","1","2","0","0","0","0","0","0","0","0","0","8"
"TOTAL","15825","985","7618","1322","222","13","23","5","47","3","15","1","26079"
"percent_of_total","60.68%","3.78%","29.21%","5.07%",".85%",".05%",".09%",".02%",".18%",".01%",".06%",".00%","100.00%"
