"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","1,335","0","651","0","15","0","0","0","5","0","0","0","2,006"
"CMCF","1,419","359","980","452","29","5","8","3","13","0","0","0","3,268"
"SMCI","1,579","0","846","0","20","0","2","0","6","0","0","0","2,453"
"County Jails (approved)","343","4","346","21","7","0","0","0","2","0","0","1","724"
"County Jails (unapproved)","328","12","238","47","8","0","3","0","0","0","4","0","640"
"Youthful Offender Facility","16","1","1","0","0","0","0","0","0","0","0","0","18"
"Private Prisons","2,776","0","949","0","24","0","7","0","2","0","1","0","3,759"
"Regional Correctional Facilities","2,470","50","1,318","78","50","2","8","0","12","0","1","0","3,989"
"Community Work Centers","174","22","96","109","3","0","0","0","1","0","0","0","405"
"Community Trusties","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TVC","64","0","32","0","0","0","0","0","0","0","0","0","96"
"Transitional Housing","2","0","5","2","1","0","0","0","0","0","0","0","10"
"Pending File Review","58","2","49","3","2","0","0","0","1","0","0","0","115"
"RRP","14","1","26","14","0","0","0","0","0","0","0","0","55"
"Court Order","91","3","72","5","1","0","0","0","0","0","0","0","172"
"","10,669","454","5,609","731","160","7","28","3","42","0","6","1","17,710"
"Intensive Supervison Program","359","83","303","136","3","0","0","0","0","2","1","0","887"
"Earned Release Supervision","380","25","124","25","2","0","0","1","1","0","0","0","558"
"Medical Release","7","0","10","0","0","0","0","0","0","0","0","0","17"
"Other Custody","249","8","172","15","28","0","0","0","2","0","1","0","475"
"At Large","14","0","5","2","3","0","0","0","0","0","0","0","24"
"Conditional Release","1","0","0","2","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","7","1","4","0","0","0","0","0","0","0","0","0","12"
"TOTAL","11,688","571","6,231","911","196","7","28","4","45","0","8","1","19,692"
"% OF TOTAL OFFENDERS","59.35%","2.90%","31.64%","4.63%","1.00%",".04%",".14%",".02%",".23%",".00%",".04%",".01%","100.00%"
