"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3431","1","1310","0","44","0","5","0","4","0","1","0","4796"
"CMCF","1028","806","552","633","11","8","1","0","1","5","0","0","3045"
"SMCI","1425","0","694","0","22","0","1","0","8","0","0","0","2150"
"County Jails (approved)","1070","78","639","80","7","2","4","2","4","0","11","1","1898"
"County Jails (unapproved)","120","11","112","26","5","0","0","0","0","0","0","0","274"
"Private Prisons","3411","0","1143","0","13","0","4","0","7","0","0","0","4578"
"Regional Correctional Facilities","2047","0","684","0","13","0","0","0","3","0","0","0","2747"
"Community Work Centers","1015","118","436","91","6","0","0","0","2","0","1","0","1669"
"Community Trusties","9","0","10","0","0","0","0","0","0","0","0","0","19"
"CUSTODY POPULATION","13556","1014","5580","830","121","10","15","2","29","5","13","1","21176"
"Intensive Supervison Program","566","100","457","162","3","0","5","2","3","0","6","2","1306"
"Earned Release Supervision","895","102","317","42","4","0","1","0","1","0","0","0","1362"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody/At Large","135","5","120","14","4","1","0","0","0","0","0","0","279"
"University of MS Medical Center","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","15152","1221","6474","1048","132","11","21","4","33","5","19","3","24123"
"% of Total Offenses","62.81%","5.06%","26.84%","4.34%","0.55%","0.05%","0.09%","0.02%","0.14%","0.02%","0.08%","0.01%","100.00%"
