"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2323","0","1051","1","13","0","2","0","3","0","0","0","3393"
"CMCF","1446","451","807","516","19","3","5","2","5","0","0","0","3254"
"SMCI","2130","0","1026","0","40","0","2","0","10","0","0","0","3208"
"County Jails (approved)","909","40","515","71","5","0","3","1","4","0","0","0","1548"
"County Jails (unapproved)","212","14","118","27","2","0","1","0","","0","0","0","374"
"Youthful Offender Facility","23","0","7","0","1","0","0","0","0","0","0","0","31"
"Private Prisons","3218","0","1045","0","31","0","2","0","6","0","0","0","4302"
"Regional Correctional Facilities","2814","138","1265","153","40","1","2","1","7","0","0","0","4421"
"Community Work Centers","807","71","468","163","1","0","1","0","2","0","1","0","1514"
"Community Trusties","6","0","3","0","0","0","0","0","0","0","0","0","9"
"Pending File Review","45","4","29","9","1","0","0","0","0","0","0","0","88"
"Court Order","211","13","130","28","2","0","","0","3","0","0","0","387"
"CUSTODY POPULATION","14144","731","0","968","155","4","18","4","40","0","1","0","22529"
"Intensive Supervison Program","657","179","494","252","6","1","4","0","3","2","5","2","1605"
"Earned Release Supervision","1033","83","451","102","5","1","3","0","3","0","0","0","1681"
"Medical Release","17","1","5","2","0","0","0","0","0","0","0","0","25"
"Other Custody","227","11","173","29","45","6","0","1","2","0","4","0","498"
"At Large","19","0","8","2","3","0","0","0","0","0","0","0","32"
"Off-Grounds Medical (Hospital)","2","1","4","2","0","0","0","0","0","0","0","0","9"
"TOTAL","16099","1006","1135","1357","214","12","25","5","48","2","10","2","26379"
"percent_of_total","61.03%","3.81%","4.30%","5.14%",".81%",".05%",".09%",".02%",".18%",".01%",".04%",".01%","100.00%"
