"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2288","0","1042","0","19","0","1","0","6","0","0","0","3356"
"CMCF","1215","331","717","479","19","5","5","3","6","1","1","1","2783"
"SMCI","1885","0","1009","0","26","0","0","0","7","0","0","0","2927"
"County Jails (approved)","478","9","341","28","5","1","2","0","1","0","1","0","866"
"County Jails (unapproved)","190","10","148","23","5","0","4","0","0","0","1","0","381"
"Youthful Offender Facility","30","0","1","0","1","0","0","0","0","0","0","0","32"
"Private Prisons","2844","0","1062","0","28","0","8","0","5","0","1","0","3948"
"Regional Correctional Facilities","2168","117","977","116","33","3","4","0","7","0","1","0","3426"
"Community Work Centers","531","52","271","121","0","1","2","1","3","0","1","0","983"
"Community Trusties","26","0","10","0","0","0","1","0","2","0","0","0","39"
"Pending File Review","53","4","40","9","0","0","0","0","1","0","0","0","107"
"Court Order","118","2","99","13","0","0","0","0","0","0","0","0","232"
"","11826","525","5717","789","136","10","27","4","38","1","6","1","19080"
"Intensive Supervison Program","307","104","241","115","7","3","1","0","3","0","0","0","781"
"Earned Release Supervision","537","60","182","45","3","0","1","0","1","0","0","0","829"
"Medical Release","5","0","5","2","0","0","0","0","0","0","0","0","12"
"Other Custody","227","13","209","23","39","4","1","1","3","0","3","0","523"
"At Large","15","0","7","2","3","0","0","0","0","0","0","0","27"
"Off-Grounds Medical (Hospital)","1","1","2","0","0","0","0","0","0","0","0","0","4"
"Conditional Release","0","0","1","1","0","0","0","0","0","0","0","0","2"
"TOTAL","12918","703","6364","977","188","17","30","5","45","1","9","1","21258"
"percent_of_total","60.77%","3.31%","29.94%","4.60%",".88%",".08%",".14%",".02%",".21%",".00%",".04%",".00%","100.00%"
