"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3207","0","1170","0","38","0","3","0","4","0","1","0","4423"
"CMCF","1090","760","581","598","11","8","1","1","1","4","0","1","3056"
"SMCI","1407","0","669","0","17","0","1","0","9","0","0","0","2103"
"County Jails (approved)","821","64","589","100","12","0","2","1","4","1","5","0","1599"
"County Jails (unapproved)","75","7","79","22","0","0","0","0","0","1","1","0","185"
"Private Prisons","3559","0","1188","0","18","0","5","0","7","0","0","0","4777"
"Regional Correctional Facilities","2010","0","708","0","17","0","1","0","2","0","0","0","2738"
"Community Work Centers","1044","109","456","85","7","0","1","0","4","0","0","0","1706"
"Community Trusties","9","0","8","0","0","0","1","0","0","0","0","0","18"
"Pending File Review","167","15","104","23","0","0","0","0","1","0","0","0","310"
"","13389","955","5552","828","120","8","15","2","32","6","7","1","20915"
"Intensive Supervison Program","619","120","516","173","4","0","4","2","1","1","8","3","1451"
"Earned Release Supervision","1155","112","437","68","4","1","1","0","0","0","0","0","1778"
"Medical Release","3","0","1","1","0","0","0","0","0","0","0","0","5"
"Other Custody/At Large","182","13","137","16","18","0","0","0","0","0","1","0","367"
"Off-Grounds Medical (Hospital)","4","0","4","1","0","0","0","0","0","0","0","0","9"
"TOTAL","15352","1200","6647","1087","146","9","20","4","33","7","16","4","24525"
"% OF TOTAL_offenses","62.60%","4.89%","27.10%","4.43%","0.60%","0.04%","0.08%","0.02%","0.13%","0.03%","0.07%","0.02%","100.00%"
