"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2230","1","966","0","18","0","2","0","4","0","1","0","3222"
"CMCF","1271","509","761","543","18","8","4","6","2","1","0","0","3123"
"SMCI","2069","0","1036","0","40","0","8","0","5","0","0","0","3158"
"County Jails (approved)","627","66","362","87","5","0","2","0","1","0","0","0","1150"
"County Jails (unapproved)","114","6","99","15","4","0","0","1","2","0","0","0","241"
"Private Prisons","3996","0","1256","0","33","0","7","0","2","0","1","0","5295"
"Regional Correctional Facilities","2005","32","885","28","34","0","3","0","5","0","1","0","2993"
"Community Work Centers","872","84","412","126","4","3","1","0","2","1","0","0","1505"
"Community Trusties","8","0","4","0","0","0","0","0","0","0","0","0","12"
"Pending File Review","58","7","28","10","1","0","0","0","0","0","0","0","104"
"Court Order","142","16","97","21","2","0","0","0","1","0","0","0","279"
"","13392","721","5906","830","159","11","27","7","24","2","3","0","21082"
"Intensive Supervison Program","617","148","543","247","7","0","5","0","3","1","1","0","1572"
"Earned Release Supervision","920","72","375","51","8","0","0","0","2","0","0","0","1428"
"Medical Release","24","8","10","2","0","0","0","0","0","0","0","0","44"
"Other Custody","167","10","123","20","39","4","2","1","3","0","5","0","374"
"At Large","22","0","13","2","3","0","0","0","0","0","0","0","40"
"Off-Grounds Medical (Hospital)","4","1","4","0","0","0","0","0","0","0","0","0","9"
"TOTAL","15146","960","6974","1152","216","15","34","8","32","3","9","0","24549"
"percent_of_total","61.70%","3.91%","28.41%","4.69%",".88%",".06%",".14%",".03%",".13%",".01%",".04%",".00%","100.00%"
