"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2,264","0","1,047","0","22","0","5","0","6","0","0","0","3,344"
"CMCF","949","408","567","442","9","4","6","2","3","1","0","0","2,391"
"SMCI","2,066","0","1,094","0","42","3","1","0","7","0","0","0","3,213"
"County Jails (approved)","804","29","469","45","11","0","2","1","0","0","0","0","1,361"
"County Jails (unapproved)","61","6","42","5","2","0","0","0","0","0","0","0","116"
"Youthful Offender Facility","27","0","12","0","0","0","0","0","0","0","0","0","39"
"Private Prisons","3,164","0","1,057","0","33","0","6","0","6","0","2","0","4,268"
"Regional Correctional Facilities","2,751","136","1,312","150","37","3","2","0","8","1","0","0","4,400"
"Community Work Centers","631","53","368","135","0","1","2","0","3","0","0","0","1,193"
"Community Trusties","4","0","3","0","0","0","0","0","0","0","0","0","7"
"Pending File Review","31","3","21","3","0","0","0","0","1","0","0","0","59"
"Court Order","151","4","72","17","0","0","0","0","1","0","0","0","245"
"","12,903","639","6,064","797","156","11","24","3","35","2","2","0","20,636"
"Intensive Supervison Program","663","180","503","272","6","6","0","2","5","0","0","0","1,637"
"Earned Release Supervision","878","67","285","70","5","0","2","0","2","0","0","0","1,309"
"Medical Release","15","0","7","3","0","0","0","0","0","0","0","0","25"
"Other Custody","219","12","166","20","47","5","1","1","4","0","3","0","478"
"At Large","17","0","8","2","3","0","0","0","0","0","0","0","30"
"Off-Grounds Medical (Hospital)","6","0","4","0","0","0","0","0","0","0","0","0","10"
"TOTAL","14,701","898","7,037","1,164","217","22","27","6","46","2","5","0","24,125"
"percent_of_total","60.94%","3.72%","29.17%","4.82%",".90%",".09%",".11%",".02%",".19%",".01%",".02%",".00%","100.00%"
