"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2180","0","1148","1","25","0","1","0","8","0","0","0","3363"
"CMCF","1433","361","895","517","19","5","7","2","6","1","0","1","3247"
"SMCI","1985","0","981","0","27","0","1","0","4","0","0","0","2998"
"County Jails (approved)","392","3","313","28","6","0","0","0","2","0","1","0","745"
"County Jails (unapproved)","171","7","109","17","2","0","1","0","0","0","0","1","308"
"Youthful Offender Facility","25","0","3","0","1","0","0","0","0","0","0","0","29"
"Private Prisons","2206","0","799","0","22","0","6","0","2","0","0","0","3035"
"Regional Correctional Facilities","2286","100","1177","128","45","3","6","0","12","0","0","1","3758"
"Community Work Centers","326","35","226","134","4","4","1","0","3","1","0","0","734"
"Community Trusties","22","0","17","0","0","0","0","0","1","0","0","0","40"
"TVC","0","2","0","5","0","0","0","0","0","0","0","0","7"
"Transitional Housing","1","1","0","0","0","0","0","0","0","0","0","0","2"
"Pending File Review","29","5","28","2","0","0","0","0","1","0","0","0","65"
"Court Order","128","2","95","14","0","0","0","0","0","0","0","0","239"
"CUSTODY POPULATION","11184","516","5791","846","151","12","23","2","39","2","1","3","18570"
"Intensive Supervison Program","297","73","238","138","2","2","2","1","2","0","3","1","759"
"Earned Release Supervision","457","43","135","35","3","1","0","0","0","0","0","0","674"
"Medical Release","7","0","4","1","0","0","0","0","0","0","0","0","12"
"Other Custody","211","8","196","20","27","1","0","0","3","0","0","1","467"
"At Large","16","0","7","2","3","0","0","0","0","0","0","1","29"
"Bond Monitoring","2","0","0","0","0","0","0","0","0","0","1","0","3"
"Contempt","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"RRP","46","4","45","8","0","0","0","0","1","0","0","1","105"
"Off-Grounds Medical (Hospital)","5","0","3","1","0","0","0","0","0","0","0","0","9"
"TOTAL","12228","644","6425","1052","186","16","25","3","45","2","5","7","20638"
"percent_of_total","59.25%","3.12%","31.13%","5.10%",".90%",".08%",".12%",".01%",".22%",".01%",".02%",".03%","100.00%"
