"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3440","1","1305","0","44","0","5","0","4","0","1","0","4800"
"CMCF","1099","809","595","629","6","8","2","0","2","4","0","0","3154"
"SMCI","1442","0","695","0","24","0","1","0","8","0","0","0","2170"
"County Jails (approved)","960","69","596","75","9","2","3","1","4","0","2","2","1723"
"County Jails (unapproved)","100","11","105","27","2","0","0","0","0","1","4","3","253"
"Private Prisons","3411","0","1184","0","16","0","4","0","7","0","0","0","4622"
"Regional Correctional Facilities","2005","0","708","0","17","0","0","0","4","0","0","0","2734"
"Community Work Centers","1047","119","438","99","3","0","0","0","1","0","1","0","1708"
"Community Trusties","8","0","10","0","0","0","0","0","0","0","0","0","18"
"Pending File Review","86","12","65","15","0","0","0","0","0","0","0","0","178"
"","13598","1021","5701","845","121","10","15","1","30","5","8","5","21360"
"Intensive Supervison Program","555","99","445","148","4","0","5","3","3","0","6","2","1270"
"Earned Release Supervision","942","98","340","44","5","0","1","0","1","0","0","0","1431"
"Medical Release","2","0","0","1","0","0","0","0","0","0","0","0","3"
"Other Custody/At Large","152","6","128","15","8","1","0","0","0","0","0","0","310"
"Off-Grounds Medical (Hospital)","3","0","3","1","0","0","0","0","0","0","0","0","7"
"TOTAL","15252","1224","6617","1054","138","11","21","4","34","5","14","7","24381"
"% of Total Offenses","62.56%","5.02%","27.14%","4.32%","0.57%","0.05%","0.09%","0.02%","0.14%","0.02%","0.06%","0.03%","100.00%"
