"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2783","0","1073","1","27","0","2","0","3","0","0","0","3889"
"CMCF","1160","651","683","616","23","10","1","3","1","2","0","0","3150"
"SMCI","1964","0","982","0","54","0","6","0","5","0","1","0","3012"
"County Jails (approved)","551","72","310","86","6","1","0","0","0","0","1","0","1027"
"County Jails (unapproved)","125","8","89","9","4","1","0","1","0","0","1","0","238"
"Private Prisons","4083","0","1355","0","33","0","7","0","7","0","2","0","5487"
"Regional Correctional Facilities","2071","0","796","0","17","0","5","0","9","0","1","0","2899"
"Community Work Centers","947","102","401","142","9","2","3","0","2","0","0","0","1608"
"Community Trusties","12","0","4","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","106","12","43","13","1","0","0","0","0","0","0","0","175"
"Court Order","133","12","82","11","1","0","0","0","1","0","0","0","240"
"","13935","857","5818","878","175","14","24","4","28","2","6","0","21741"
"Intensive Supervison Program","504","144","428","187","6","0","1","1","4","1","2","0","1278"
"Earned Release Supervision","993","87","382","54","5","0","1","0","2","0","0","0","1524"
"Medical Release","19","6","10","2","0","0","0","0","0","0","0","0","37"
"Other Custody","147","13","120","15","44","3","0","1","1","0","4","1","349"
"At Large","26","0","16","2","3","0","0","0","0","0","0","0","47"
"Off-Grounds Medical (Hospital)","6","2","0","0","0","0","0","0","0","0","0","0","8"
"TOTAL","15630","1109","6774","1138","233","17","26","6","35","3","12","1","24984"
"% OF TOTAL_offenses","62.56%","4.44%","27.11%","4.55%","0.93%","0.07%","0.10%","0.02%","0.14%","0.01%","0.05%","0.00%","100.00%"
