"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2179","0","1079","0","16","0","3","0","5","0","1","0","3283"
"CMCF","1413","339","890","538","21","8","4","1","7","1","0","1","3223"
"SMCI","1977","0","948","0","24","0","1","0","6","0","0","0","2956"
"County Jails (approved)","400","5","306","26","6","0","1","0","2","0","1","0","747"
"County Jails (unapproved)","168","4","108","10","3","0","0","0","1","0","1","0","295"
"Youthful Offender Facility","32","0","2","0","1","0","0","0","0","0","0","0","35"
"Private Prisons","2220","0","812","0","20","0","8","0","1","0","0","0","3061"
"Regional Correctional Facilities","2592","109","1265","111","51","4","7","1","13","0","0","0","4153"
"Community Work Centers","394","36","229","117","3","3","2","0","4","0","1","0","789"
"Community Trusties","29","0","12","0","0","0","0","0","1","0","0","0","42"
"TVC","0","9","0","8","0","0","0","0","0","0","0","0","17"
"Pending File Review","55","1","34","12","1","0","0","0","1","0","0","0","104"
"Court Order","132","7","74","14","0","0","0","0","0","0","0","0","227"
"","11591","510","5759","836","146","15","26","2","41","1","4","1","18932"
"Intensive Supervison Program","277","95","239","116","2","1","1","0","3","1","1","1","737"
"Earned Release Supervision","385","47","125","38","4","0","0","0","1","0","0","0","600"
"Medical Release","7","0","4","2","0","0","0","0","0","0","0","0","13"
"Other Custody","240","12","202","20","41","3","0","1","4","0","2","0","525"
"Transitional Housing","1","0","0","0","0","0","0","0","0","0","0","0","1"
"At Large","17","0","6","2","3","0","0","0","0","0","0","0","28"
"Conditional Release","0","0","1","1","0","0","0","0","0","0","0","0","2"
"RRP","13","2","7","0","0","0","0","0","0","0","0","0","22"
"Off-Grounds Medical (Hospital)","2","0","1","1","0","0","0","0","0","0","0","0","4"
"TOTAL","12533","666","6344","1016","196","19","27","3","49","2","7","2","20864"
"percent_of_total","60.07%","3.19%","30.41%","4.87%",".94%",".09%",".13%",".01%",".23%",".01%",".03%",".01%","100.00%"
