"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2812","0","1084","1","22","0","2","0","3","0","0","0","3924"
"CMCF","1290","592","716","582","17","9","0","2","3","1","0","0","3212"
"SMCI","1753","0","940","0","46","0","4","0","2","0","0","0","2745"
"County Jails (approved)","581","68","347","92","4","1","0","0","0","0","0","0","1093"
"County Jails (unapproved)","152","15","102","24","5","0","0","0","0","0","1","0","299"
"Private Prisons","3892","0","1369","0","34","0","7","0","8","0","1","0","5311"
"Regional Correctional Facilities","1877","45","760","30","23","0","5","0","7","0","2","0","2749"
"Community Work Centers","1072","90","457","154","8","3","2","2","0","0","0","0","1788"
"Community Trusties","12","0","4","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","42","5","26","11","0","0","0","0","0","0","0","0","84"
"Court Order","153","12","87","16","0","0","0","0","0","0","0","0","268"
"CUSTODY POPULATION","13636","827","5892","910","159","13","20","4","23","1","4","0","21489"
"Intensive Supervison Program","583","140","471","202","9","0","1","1","5","0","2","0","1414"
"Earned Release Supervision","928","77","356","54","7","0","1","0","1","0","0","0","1424"
"Medical Release","18","7","8","2","0","0","0","0","0","0","0","0","35"
"Other Custody","157","11","119","14","46","3","0","1","2","0","5","1","359"
"At Large","25","0","14","2","3","0","0","0","0","0","0","0","44"
"Off-Grounds Medical (Hospital)","5","2","1","0","0","0","0","0","0","0","0","0","8"
"TOTAL","15352","1064","6861","1184","224","16","22","6","31","1","11","1","24773"
"% OF TOTAL_offenses","61.97%","4.29%","27.70%","4.78%","0.90%","0.06%","0.09%","0.02%","0.13%","0.00%","0.04%","0.00%","100.00%"
