"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","4,217","0","1,438","0","37","0","6","0","6","0","0","0","5,704"
"CMCF","1,097","856","647","558","12","6","4","0","2","6","0","0","3,188"
"SMCI","1,389","0","734","0","18","0","5","0","5","0","0","0","2,151"
"County Jails (approved)","1,013","47","629","55","9","1","2","0","4","0","0","0","1,760"
"County Jails (unapproved)","93","8","74","24","1","0","0","0","1","0","0","0","201"
"Private Prisons","2,580","0","885","0","6","0","4","0","3","0","0","0","3,478"
"Regional Correctional Facilities","2,015","0","562","0","10","0","0","0","3","0","0","0","2,590"
"Community Work Centers","859","95","362","88","9","0","1","0","2","0","0","0","1,416"
"Community Trusties","15","0","7","0","1","0","0","0","0","0","0","0","23"
"","13,278","1,006","5,338","725","103","7","22","0","26","6","0","0","20,511"
"Intensive Supervison Program","590","125","497","181","5","1","3","2","2","0","0","0","1,406"
"Earned Release Supervision","775","85","266","51","2","0","1","1","1","0","0","0","1,182"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","93","2","92","8","3","0","0","0","0","0","0","0","198"
"At Large","95","7","43","8","2","0","0","0","0","1","0","0","156"
"University of MS Medical Center","3","","0","0","0","0","0","0","0","0","0","0","3"
"TOTAL","14,834","1,225","6,236","973","115","8","26","3","29","7","0","0","23,456"
"% of Total Offenses","63.24%","5.22%","26.59%","4.15%","0.49%","0.03%","0.11%","0.01%","0.12%","0.03%","0.00%","0.00%","100.00%"
