"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2113","0","940","1","16","0","4","0","3","0","0","0","3077"
"CMCF","1248","504","757","620","15","5","3","3","1","2","2","0","3160"
"SMCI","2036","0","1049","0","45","0","6","0","5","0","0","0","3141"
"County Jails (approved)","721","52","437","97","3","1","1","0","0","0","0","0","1312"
"County Jails (unapproved)","177","9","100","19","7","0","1","0","0","0","1","1","315"
"Private Prisons","3862","0","1228","0","32","0","7","0","7","0","0","0","5136"
"Regional Correctional Facilities","2131","22","1042","38","32","0","2","0","4","0","2","0","3273"
"Community Work Centers","943","51","415","144","5","1","1","0","4","0","0","0","1564"
"Community Trusties","7","0","7","0","0","0","0","0","0","0","0","0","14"
"Pending File Review","70","8","27","20","1","1","0","0","0","0","0","0","127"
"Court Order","172","10","98","13","1","0","0","0","1","0","0","0","295"
"CUSTODY POPULATION","13480","656","6100","952","157","8","25","3","25","2","5","1","21414"
"Intensive Supervison Program","592","148","532","245","10","1","3","0","7","0","1","0","1539"
"Earned Release Supervision","936","86","349","63","1","1","1","0","0","0","0","0","1437"
"Medical Release","19","5","7","3","0","0","0","0","0","0","0","0","34"
"Other Custody","184","9","132","18","42","4","1","1","2","0","5","0","398"
"At Large","21","0","11","2","3","0","0","0","0","0","0","0","37"
"Off-Grounds Medical (Hospital)","6","1","2","1","0","0","0","0","0","0","0","0","10"
"TOTAL","15238","905","7133","1284","213","14","30","4","34","2","11","1","24869"
"percent_of_total","61.27%","3.64%","28.68%","5.16%",".86%",".06%",".12%",".02%",".14%",".01%",".04%",".00%","100.00%"
