"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2276","0","1066","0","12","0","1","0","4","0","0","0","3359"
"CMCF","1519","437","797","533","27","4","4","1","3","0","2","0","3327"
"SMCI","2146","0","960","0","51","0","3","0","7","0","0","0","3167"
"County Jails (approved)","783","36","504","52","3","0","4","0","4","0","2","1","1389"
"County Jails (unapproved)","259","7","162","11","5","0","3","0","2","0","18","1","468"
"Private Prisons","3097","0","1007","0","21","0","3","0","4","0","0","0","4132"
"Regional Correctional Facilities","2709","140","1294","156","36","1","2","1","6","0","2","0","4347"
"Community Work Centers","820","75","461","165","5","2","1","0","2","0","0","0","1531"
"Community Trusties","10","0","4","0","0","0","0","0","0","0","0","0","14"
"Pending File Review","50","3","24","4","3","0","0","0","0","0","0","0","84"
"Court Order","188","7","131","20","1","0","0","1","1","0","0","0","349"
"CUSTODY POPULATION","13857","705","6410","941","164","7","21","3","33","0","24","2","22167"
"Intensive Supervison Program","627","168","539","271","7","1","3","0","3","3","1","0","1623"
"Earned Release Supervision","1021","88","429","74","6","1","0","0","1","1","0","0","1621"
"Medical Release","17","1","6","1","0","0","0","0","0","0","0","0","25"
"Other Custody","209","10","159","20","44","5","0","1","2","0","4","0","454"
"At Large","21","0","8","2","3","0","0","0","0","0","0","0","34"
"Off-Grounds Medical (Hospital)","12","1","5","0","0","0","0","0","0","0","0","0","18"
"TOTAL","15764","973","7556","1309","224","14","24","4","39","4","29","2","25942"
"percent_of_total","60.77%","3.75%","29.13%","5.05%",".86%",".05%",".09%",".02%",".15%",".02%",".11%",".01%","100.00%"
