"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3895","1","1388","1","17","0","3","0","3","0","0","0","5308"
"CMCF","1099","774","629","439","2","4","3","4","2","2","0","0","2958"
"SMCI","1414","0","609","1","16","0","0","0","2","0","0","0","2042"
"County Jails (approved)","919","64","467","30","7","2","3","0","1","0","0","0","1493"
"County Jails (unapproved)","81","11","64","12","1","0","0","0","0","0","0","0","169"
"Private Prisons","2832","0","770","0","7","0","2","0","2","0","0","0","3613"
"Regional Correctional Facilities","1592","0","402","0","4","0","4","0","2","0","0","0","2004"
"Community Work Centers","879","73","293","37","7","0","2","0","0","2","1","0","1294"
"Community Trusties","15","0","6","0","0","0","0","0","0","0","0","0","21"
"","12726","923","4628","520","61","6","17","4","12","4","1","0","18902"
"Intensive Supervison Program","660","131","480","130","1","0","3","1","1","0","0","0","1407"
"Earned Release Supervision","683","67","241","33","3","0","0","0","0","0","0","0","1027"
"Medical Release","","","","","","","","","","","0","0","0"
"Other Custody","94","5","97","12","3","0","0","0","0","1","0","0","212"
"At Large","51","6","21","5","1","0","0","0","1","0","0","0","85"
"University of MS Medical Center","3","0","4","2","0","0","0","0","0","0","0","0","9"
"TOTAL","14217","1132","5471","702","69","6","20","5","14","5","1","0","21642"
"% of Total Offenses","65.69%","5.23%","25.28%","3.24%","0.32%","0.03%","0.09%","0.02%","0.06%","0.02%","0.00%","0.00%","100.00%"
