"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2189","0","1004","1","22","0","2","0","4","0","0","0","3222"
"CMCF","1274","504","783","616","19","7","5","3","1","1","0","0","3213"
"SMCI","2088","0","1020","0","40","0","6","0","4","0","0","0","3158"
"County Jails (approved)","681","45","386","77","2","0","1","0","0","0","0","0","1192"
"County Jails (unapproved)","134","4","56","9","1","0","0","0","0","0","0","0","204"
"Private Prisons","3874","0","1237","0","29","0","8","0","3","0","0","0","5151"
"Regional Correctional Facilities","1987","28","933","32","31","0","2","0","6","0","2","0","3021"
"Community Work Centers","796","50","414","134","6","1","0","0","4","0","0","0","1405"
"Community Trusties","8","0","5","0","0","0","0","0","0","0","0","0","13"
"Pending File Review","83","18","50","19","2","0","0","0","0","0","0","0","172"
"Court Order","172","8","94","16","0","0","0","0","1","0","0","0","291"
"","13286","657","5982","904","152","8","24","3","23","1","2","0","21042"
"Intensive Supervison Program","636","153","575","251","7","0","5","1","6","1","2","0","1637"
"Earned Release Supervision","943","74","384","58","6","0","0","0","2","0","0","0","1467"
"Medical Release","23","5","9","3","0","0","0","0","0","0","0","0","40"
"Other Custody","181","8","129","19","40","4","1","1","1","0","5","0","389"
"At Large","22","0","11","2","3","0","0","0","0","0","0","0","38"
"Off-Grounds Medical (Hospital)","3","3","3","0","0","0","0","0","0","0","0","0","9"
"TOTAL","15094","900","7093","1237","208","12","30","5","32","2","9","0","24622"
"percent_of_total","61.30%","3.66%","28.81%","5.02%",".84%",".05%",".12%",".02%",".13%",".01%",".04%",".00%","100.00%"
