"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2249","0","1024","0","12","0","4","0","2","0","0","0","3291"
"CMCF","1372","425","776","485","15","1","9","2","3","0","0","0","3088"
"SMCI","2068","0","1060","0","44","0","6","0","9","0","0","0","3187"
"County Jails (approved)","912","36","486","49","8","0","4","0","1","0","0","0","1496"
"County Jails (unapproved)","143","6","94","21","3","0","0","0","0","0","0","0","267"
"Youthful Offender Facility","27","0","8","0","0","0","0","0","0","0","0","0","35"
"Private Prisons","3291","0","1037","0","32","0","7","0","4","0","0","0","4371"
"Regional Correctional Facilities","2721","134","1289","147","41","3","4","1","7","1","0","0","4348"
"Community Work Centers","628","57","378","144","0","1","0","1","4","0","0","0","1213"
"Community Trusties","7","0","2","0","0","0","0","0","0","0","0","0","9"
"Pending File Review","45","10","38","9","1","0","0","0","1","0","0","0","104"
"Court Order","194","16","104","23","2","1","0","0","3","0","0","0","343"
"","13657","684","6296","878","158","6","34","4","25","10","0","0","21752"
"Intensive Supervison Program","617","147","436","214","5","2","1","0","4","0","2","2","1430"
"Earned Release Supervision","1048","80","373","101","3","0","3","0","3","0","0","0","1611"
"Medical Release","16","1","4","2","0","0","0","0","0","0","0","0","23"
"Other Custody","226","9","158","29","48","5","1","1","3","0","3","0","483"
"At Large","18","0","8","2","3","0","0","0","0","0","0","0","31"
"Off-Grounds Medical (Hospital)","16","1","4","2","0","0","0","0","0","0","0","0","23"
"TOTAL","15598","922","7279","1228","217","13","39","5","35","10","5","2","25353"
"percent_of_total","61.52%","3.64%","28.71%","4.84%",".86%",".05%",".15%",".02%",".14%",".04%",".02%",".01%","100.00%"
