"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3,881","0","1,357","0","21","0","2","0","3","0","1","0","5,265"
"CMCF","1,099","788","616","430","4","5","3","1","3","3","0","0","2,952"
"SMCI","1,502","0","624","0","12","0","1","0","1","0","0","0","2,140"
"County Jails (approved)","937","54","487","46","10","2","4","0","1","1","0","0","1,542"
"County Jails (unapproved)","57","4","45","12","0","0","0","0","0","0","0","0","118"
"Private Prisons","2,815","0","683","0","6","0","2","0","2","0","0","0","3,508"
"Regional Correctional Facilities","1,613","0","430","0","4","0","3","0","3","0","0","0","2,053"
"Community Work Centers","863","74","285","43","5","0","2","1","0","0","0","0","1,273"
"Community Trusties","16","0","8","0","0","0","0","0","0","0","0","0","24"
"","12,783","920","4,535","531","62","7","17","2","13","4","1","0","18,875"
"Intensive Supervison Program","609","99","420","108","2","1","1","0","2","2","0","0","1,244"
"Earned Release Supervision","668","68","208","31","5","0","1","1","1","0","0","0","983"
"Medical Release","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Other Custody","88","8","97","11","3","0","0","0","0","1","0","0","208"
"At Large","47","7","25","4","1","0","0","0","1","0","0","0","85"
"University of MS Medical Center","1","3","0","1","0","0","0","0","0","0","0","0","5"
"TOTAL","14,197","1,105","5,285","686","73","8","19","3","17","7","1","0","21,401"
"% of Total Offenses","66.34%","5.16%","24.70%","3.21%","0.34%","0.04%","0.09%","0.01%","0.08%","0.03%","0.00%","0.00%","100.00%"
