"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,208","0","1,021","0","15","0","1","0","3","0","0","0","3,248"
"CMCF","1,308","428","759","511","21","8","3","2","1","2","1","0","3,044"
"SMCI","2,121","0","988","0","36","0","6","0","3","0","0","0","3,154"
"County Jails (approved)","769","50","421","75","5","1","2","0","2","0","1","0","1,326"
"County Jails (unapproved)","295","6","199","8","4","0","0","0","2","0","2","0","516"
"Private Prisons","3,108","0","1,043","0","24","0","3","0","8","0","0","0","4,186"
"Regional Correctional Facilities","2,716","122","1,196","164","39","0","1","0","5","1","1","0","4,245"
"Community Work Centers","854","58","404","124","6","1","3","0","3","1","0","0","1,454"
"Community Trusties","8","0","4","0","0","0","0","0","0","0","0","0","12"
"Pending File Review","28","4","13","8","1","0","0","0","0","0","0","0","54"
"Court Order","229","7","123","18","1","0","0","0","2","0","0","0","380"
"CUSTODY POPULATION","13,644","675","6,171","908","152","10","19","2","29","4","5","0","21,619"
"Intensive Supervison Program","623","164","557","249","7","2","3","1","2","0","1","0","1,609"
"Earned Release Supervision","991","89","433","77","7","0","2","0","1","0","0","0","1,600"
"Medical Release","17","2","4","1","0","0","0","0","0","0","0","0","24"
"Other Custody","194","12","149","20","47","4","1","1","2","0","4","0","434"
"At Large","22","0","11","2","3","0","0","0","0","0","0","0","38"
"Off-Grounds Medical (Hospital)","4","1","3","1","0","0","0","1","0","0","0","0","10"
"TOTAL","15,495","943","7,328","1,258","216","16","25","5","34","4","10","0","25,334"
"% OF TOTAL OFFENDERS","61.16%","3.72%","28.93%","4.97%",".85%",".06%",".10%",".02%",".13%",".02%",".04%",".00%","100.00%"
