"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","4,083","0","1,413","0","24","0","5","0","5","0","0","0","5,530"
"CMCF","1,039","816","661","516","16","6","5","1","1","3","0","0","3,064"
"SMCI","1,376","0","674","0","18","0","2","0","6","0","0","0","2,076"
"County Jails (approved)","1,037","82","609","70","9","2","3","0","1","1","0","0","1,814"
"County Jails (unapproved)","107","10","78","12","2","0","1","0","1","0","0","0","211"
"Private Prisons","2,583","0","817","0","7","0","4","0","1","0","0","0","3,412"
"Regional Correctional Facilities","1,957","0","515","0","9","0","0","0","3","0","0","0","2,484"
"Community Work Centers","814","80","325","67","4","0","2","0","1","0","1","0","1,294"
"Community Trusties","13","0","7","0","0","0","0","0","0","0","0","0","20"
"","13,009","988","5,099","665","89","8","22","1","19","4","1","0","19,905"
"Intensive Supervison Program","661","118","513","168","4","2","3","1","2","1","0","0","1,473"
"Earned Release Supervision","680","68","247","41","1","0","0","1","0","0","0","0","1,038"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","109","7","107","11","3","0","0","0","0","1","0","0","238"
"At Large","57","5","24","5","1","0","0","0","0","0","0","0","92"
"University of MS Medical Center","6","0","2","0","0","0","0","0","0","0","0","0","8"
"TOTAL","14,522","1,186","5,992","890","98","10","25","3","21","6","1","0","22,754"
"% of Total Offenses","63.82%","5.21%","26.33%","3.91%","0.43%","0.04%","0.11%","0.01%","0.09%","0.03%","0.00%","0.00%","100.00%"
