"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2289","0","1054","1","13","0","2","0","3","0","0","0","3362"
"CMCF","1452","454","807","501","13","5","9","2","2","0","1","0","3246"
"SMCI","2169","0","1013","0","42","0","4","0","0","9","0","0","3237"
"County Jails (approved)","893","47","532","80","6","0","2","1","4","0","0","0","1565"
"County Jails (unapproved)","221","22","127","26","3","1","1","0","1","0","0","0","402"
"Youthful Offender Facility","23","0","10","0","1","0","0","0","0","0","0","0","34"
"Private Prisons","3269","0","1087","0","32","0","4","0","5","0","0","0","4397"
"Regional Correctional Facilities","2804","143","1273","154","43","1","1","1","8","0","0","0","4428"
"Community Work Centers","762","72","414","148","1","0","2","0","4","1","0","0","1404"
"Community Trusties","7","0","4","0","0","0","0","0","0","0","0","0","11"
"Pending File Review","37","4","28","10","2","0","0","0","0","0","0","0","81"
"Court Order","196","11","123","21","3","1","0","0","1","0","0","0","356"
"CUSTODY POPULATION","14122","753","6472","941","159","8","25","4","28","10","1","0","22523"
"Intensive Supervison Program","622","163","473","240","4","2","4","0","3","2","5","2","1520"
"Earned Release Supervision","1024","77","451","107","3","0","4","0","2","0","0","0","1668"
"Medical Release","16","1","4","2","0","0","0","0","0","0","0","0","23"
"Other Custody","224","9","161","27","45","5","1","1","3","0","3","0","479"
"At Large","18","0","8","2","3","0","0","0","0","0","0","0","31"
"Off-Grounds Medical (Hospital)","6","0","2","0","0","0","0","0","0","0","0","0","8"
"TOTAL","16032","1003","7571","1319","214","15","34","5","36","12","9","2","26252"
"percent_of_total","61.07%","3.82%","28.84%","5.02%",".82%",".06%",".13%",".02%",".14%",".05%",".03%",".01%","100.00%"
