"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","3232","1","1252","0","34","0","3","0","6","0","0","0","4528"
"CMCF","1168","736","718","657","11","5","1","0","0","4","0","0","3300"
"SMCI","1368","0","672","0","22","0","3","0","5","0","0","0","2070"
"County Jails (approved)","728","65","473","76","5","3","3","0","1","0","11","1","1366"
"County Jails (unapproved)","103","3","54","11","1","1","0","0","0","0","4","1","178"
"Private Prisons","3660","0","1169","0","22","0","4","0","8","0","4","0","4867"
"Regional Correctional Facilities","2216","0","831","0","16","0","3","0","5","0","1","0","3072"
"Community Work Centers","1064","110","478","104","15","3","2","1","3","0","0","0","1780"
"Community Trusties","14","0","6","0","0","0","0","0","0","0","0","0","20"
"Pending File Review","30","4","11","6","0","0","0","0","0","0","0","0","51"
"Court Order","138","10","115","36","0","0","1","0","0","0","0","0","300"
"CUSTODY POPULATION","13721","929","5779","890","126","12","20","1","28","4","20","2","21532"
"Intensive Supervison Program","599","169","524","213","10","1","0","0","1","0","10","2","1529"
"Earned Release Supervision","1062","105","411","89","8","1","3","0","0","0","0","0","1679"
"Medical Release","5","0","4","0","0","0","0","0","0","0","0","0","9"
"Other Custody","135","8","118","14","28","0","0","0","3","0","2","1","309"
"At Large","80","5","32","4","5","0","0","0","1","0","0","0","127"
"Off-Grounds Medical (Hospital)","4","0","1","1","0","0","0","0","0","0","0","0","6"
"TOTAL","15606","1216","6869","1211","177","14","23","1","33","4","32","5","25191"
"% OF TOTAL_offenses","61.95%","4.83%","27.27%","4.81%","0.70%","0.06%","0.09%","0.00%","0.13%","0.02%","0.13%","0.02%","100.00%"
