"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2403","0","970","0","18","0","2","0","4","0","1","0","3398"
"CMCF","1345","574","755","612","12","10","2","4","1","0","0","0","3315"
"SMCI","2066","0","1011","0","45","0","5","0","4","0","0","0","3131"
"County Jails (approved)","564","41","345","64","4","0","0","0","0","0","1","0","1019"
"County Jails (unapproved)","175","6","83","8","4","0","0","1","2","1","1","0","281"
"Private Prisons","3970","0","1302","0","33","0","6","0","2","0","1","0","5314"
"Regional Correctional Facilities","1688","34","735","24","26","0","5","0","6","0","1","0","2519"
"Community Work Centers","936","85","458","144","6","4","3","1","2","1","0","0","1640"
"Community Trusties","9","0","3","0","0","0","0","0","0","0","0","0","12"
"Pending File Review","45","4","19","8","3","0","0","0","0","0","0","0","79"
"Court Order","134","11","84","12","1","0","1","0","0","0","0","0","243"
"CUSTODY POPULATION","13335","755","5765","872","152","14","24","6","21","2","5","0","20951"
"Intensive Supervison Program","610","154","541","239","9","0","4","0","2","0","0","0","1559"
"Earned Release Supervision","933","79","378","58","5","1","1","0","1","0","0","0","1456"
"Medical Release","23","8","11","2","0","0","0","0","0","0","0","0","44"
"Other Custody","161","10","119","16","39","4","2","1","3","0","4","0","359"
"At Large","24","0","14","2","3","0","0","0","0","0","0","0","43"
"Off-Grounds Medical (Hospital)","6","1","1","0","0","0","0","0","0","0","0","0","8"
"TOTAL","15092","1007","6829","1189","208","19","31","7","27","2","9","0","24420"
"percent_of_total","61.80%","4.12%","27.96%","4.87%",".85%",".08%",".13%",".03%",".11%",".01%",".04%",".00%","100.00%"
