location,black_male,black_female,white_male,white_female,hispanic_male,hispanic_female,native_american_male,native_american_female,asian_male,asian_female,unknown_male,unknown_female,total
MSP,2229,0,1012,0,25,0,2,0,6,0,2,0,3276
CMCF,1055,393,610,459,16,5,3,3,3,1,0,0,2548
SMCI,1768,0,877,0,32,0,2,0,5,0,1,0,2685
County Jails (approved),387,16,245,37,4,0,0,0,0,1,0,0,690
County Jails (unapproved),189,3,132,14,3,0,0,0,0,0,2,0,343
Youthful Offender Facility,23,0,2,0,1,0,0,0,0,0,0,0,26
Private Prisons,2845,0,1037,0,22,0,8,0,7,0,0,0,3919
Regional Correctional Facilities,2296,96,1021,113,30,1,5,0,9,0,0,0,3571
Community Work Centers,600,49,329,117,0,2,2,0,3,0,3,0,1105
Community Trusties,9,0,2,0,0,0,0,0,0,0,0,0,11
Pending File Review,47,4,28,5,0,0,1,0,1,0,0,0,86
Court Order,152,2,93,11,1,1,0,0,0,1,0,0,261
CUSTODY POPULATION,11600,563,5388,756,134,9,23,3,34,3,8,0,18521
Intensive Supervison Program,353,99,243,136,0,2,0,1,4,1,1,0,840
Earned Release Supervision,563,57,189,34,3,0,0,0,2,0,0,0,848
Medical Release,8,0,4,2,0,0,0,0,0,0,0,0,14
Other Custody,235,12,197,22,41,4,3,0,3,0,3,0,520
At Large,16,0,6,2,3,0,0,0,0,0,0,0,27
Off-Grounds Medical (Hospital),2,0,0,0,0,0,0,0,0,0,0,0,2
TOTAL,12777,731,6027,952,181,15,26,4,43,4,12,0,20772
% OF TOTAL OFFENDERS,61.51%,3.52%,29.02%,4.58%,0.87%,0.07%,0.13%,0.02%,0.21%,0.02%,0.06%,0.00%,100.00%
