"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2226","0","1005","0","22","0","2","0","4","0","0","0","3259"
"CMCF","1128","364","675","441","15","3","4","3","4","1","0","0","2638"
"SMCI","1774","0","905","0","30","0","2","0","5","0","1","0","2717"
"County Jails (approved)","374","20","252","35","4","0","0","0","0","1","1","0","687"
"County Jails (unapproved)","204","17","153","28","1","1","3","0","0","1","1","1","410"
"Youthful Offender Facility","24","0","3","0","1","0","0","0","0","0","0","0","28"
"Private Prisons","2816","0","1039","0","24","0","8","0","6","0","0","0","3893"
"Regional Correctional Facilities","2372","98","1058","115","35","2","5","0","11","0","0","0","3696"
"Community Work Centers","585","50","299","122","0","2","2","0","2","0","3","0","1065"
"Community Trusties","10","0","1","0","1","0","0","0","0","0","0","0","12"
"Pending File Review","28","6","23","6","0","0","0","0","1","0","0","0","64"
"Court Order","118","1","93","8","2","1","0","0","0","0","0","0","223"
"CUSTODY POPULATION","11659","556","5506","755","135","9","26","3","33","3","6","1","18692"
"Intensive Supervison Program","335","95","235","117","4","2","1","1","4","0","0","0","794"
"Earned Release Supervision","552","61","190","37","2","0","0","0","1","0","0","0","843"
"Medical Release","7","0","4","2","0","0","0","0","0","0","0","0","13"
"Other Custody","242","13","195","24","42","4","3","0","3","0","3","0","529"
"At Large","15","0","6","2","3","0","0","0","0","0","0","0","26"
"Off-Grounds Medical (Hospital)","9","0","2","0","0","0","0","0","0","0","0","0","11"
"TOTAL","12819","725","6138","937","186","15","30","4","41","3","9","1","20908"
"percent_of_total","61.31%","3.47%","29.36%","4.48%",".89%",".07%",".14%",".02%",".20%",".01%",".04%",".00%","100.00%"
