"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2,265","0","955","0","27","0","2","0","10","0","2","0","3,261"
"CMCF","1,537","388","1,020","548","29","5","3","1","7","1","0","0","3,539"
"SMCI","1,683","0","933","0","32","0","2","0","4","0","0","0","2,654"
"County Jails (approved)","401","0","340","4","5","0","0","0","3","0","1","0","754"
"County Jails (unapproved)","230","8","125","14","1","0","0","0","1","0","0","0","379"
"Youthful Offender Facility","33","0","2","0","0","0","0","0","0","0","0","0","35"
"Private Prisons","2,235","0","862","0","16","0","7","0","3","0","0","0","3,123"
"Regional Correctional Facilities","2,600","64","1,379","104","49","2","9","0","15","0","0","0","4,222"
"Community Work Centers","287","24","203","140","3","2","1","2","2","1","0","0","665"
"Community Trusties","6","0","1","0","0","0","0","0","0","0","0","0","7"
"TVC","45","0","29","0","0","0","0","0","0","0","0","0","74"
"Transitional Housing","10","2","5","8","0","0","0","0","0","0","0","0","25"
"Pending File Review","33","3","27","9","1","0","0","0","1","0","0","0","74"
"RRP","23","3","28","21","0","1","0","0","0","0","0","0","76"
"Court Order","126","5","116","20","0","1","0","0","2","0","0","1","271"
"","11,514","497","6,025","868","163","11","24","3","48","2","3","1","19,159"
"Intensive Supervison Program","329","69","263","113","2","2","0","0","1","1","1","0","781"
"Earned Release Supervision","392","24","127","19","1","2","0","1","1","0","0","0","567"
"Medical Release","7","0","7","1","0","0","0","0","0","0","0","0","15"
"Other Custody","238","7","177","25","30","0","1","0","2","0","1","0","481"
"At Large","15","0","5","2","3","0","0","0","0","0","0","0","25"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","4","0","3","0","0","0","0","0","0","0","0","0","7"
"TOTAL","12,502","597","6,612","1,029","199","15","25","4","52","3","5","1","21,044"
"percent_of_total","59.41%","2.84%","31.42%","4.89%",".95%",".07%",".12%",".02%",".25%",".01%",".02%",".00%","100.00%"
