"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2258","0","1052","0","13","0","5","0","3","0","0","0","3331"
"CMCF","1273","420","708","475","15","2","2","3","3","0","0","0","2901"
"SMCI","2083","0","1087","0","47","0","5","0","9","0","0","0","3231"
"County Jails (approved)","864","35","473","40","8","1","4","1","1","0","0","0","1427"
"County Jails (unapproved)","138","8","82","12","3","0","1","0","2","0","0","0","246"
"Youthful Offender Facility","24","0","9","0","0","0","0","0","0","0","0","0","33"
"Private Prisons","3303","0","1042","0","34","0","9","0","3","0","1","0","4392"
"Regional Correctional Facilities","2739","142","1316","151","41","3","4","1","8","1","0","0","4406"
"Community Work Centers","597","50","373","145","0","2","3","0","4","0","0","0","1174"
"Community Trusties","8","0","4","0","0","0","0","0","0","0","0","0","12"
"Pending File Review","28","9","23","6","0","0","0","0","0","0","0","0","66"
"Court Order","166","6","96","26","1","0","0","0","3","0","0","0","298"
"CUSTODY POPULATION","13481","670","6265","855","162","8","33","5","36","1","1","0","21517"
"Intensive Supervison Program","624","149","443","233","5","3","2","0","4","0","2","2","1467"
"Earned Release Supervision","1034","84","363","95","4","0","2","0","4","0","0","0","1586"
"Medical Release","16","1","4","2","0","0","0","0","0","0","0","0","23"
"Other Custody","226","10","159","30","47","5","0","1","3","0","3","0","484"
"At Large","17","0","9","2","3","0","0","0","0","0","0","0","31"
"Off-Grounds Medical (Hospital)","5","0","1","0","0","0","0","0","0","0","0","0","6"
"TOTAL","15403","914","7244","1217","221","16","37","6","47","1","6","2","25114"
"percent_of_total","61.33%","3.64%","28.84%","4.85%",".88%",".06%",".15%",".02%",".19%",".00%",".02%",".01%","100.00%"
