"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2263","0","947","0","27","0","3","0","8","0","2","0","3250"
"CMCF","1528","377","1097","610","31","9","8","3","16","2","1","2","3684"
"SMCI","1946","0","1051","0","35","0","1","0","5","0","0","0","3038"
"County Jails (approved)","359","0","332","7","4","0","0","0","2","0","1","0","705"
"County Jails (unapproved)","246","15","150","32","2","1","1","0","2","0","0","0","449"
"Youthful Offender Facility","34","0","2","0","0","0","0","0","0","0","0","0","36"
"Private Prisons","2298","0","890","0","19","0","8","0","3","0","0","0","3218"
"Regional Correctional Facilities","2178","82","1217","109","45","2","6","1","12","0","0","0","3652"
"Community Work Centers","283","24","209","115","3","3","1","1","2","1","0","0","642"
"Community Trusties","3","0","2","0","0","0","0","0","0","0","0","0","5"
"TVC","25","1","18","0","0","0","0","0","0","0","0","0","44"
"Transitional Housing","6","1","8","7","1","0","0","0","0","0","0","0","23"
"Pending File Review","86","5","56","15","0","0","1","0","1","0","0","0","164"
"RRP","30","6","37","24","0","1","0","0","0","0","0","0","98"
"Court Order","116","5","90","12","2","0","0","0","1","0","0","0","226"
"","11401","516","6106","931","169","16","29","5","52","3","4","2","19234"
"Intensive Supervison Program","325","58","239","116","4","2","1","0","2","1","1","0","749"
"Earned Release Supervision","399","27","135","24","1","1","0","0","1","0","0","0","588"
"Medical Release","8","0","6","1","0","0","0","0","0","0","0","0","15"
"Other Custody","226","5","168","18","25","0","0","0","2","0","1","0","445"
"At Large","15","0","6","2","3","0","0","0","0","0","0","0","26"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","6","1","5","0","0","0","0","0","0","0","0","0","12"
"TOTAL","12383","607","6670","1093","202","19","30","5","57","4","6","2","21078"
"percent_of_total","58.75%","2.88%","31.64%","5.19%",".96%",".09%",".14%",".02%",".27%",".02%",".03%",".01%","100.00%"
