"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2792","2","1085","1","19","0","2","0","3","0","0","0","3904"
"CMCF","1327","584","777","612","18","6","1","2","3","2","1","0","3333"
"SMCI","1975","0","1053","0","45","0","3","0","3","0","0","0","3079"
"County Jails (approved)","562","71","317","69","4","1","0","0","0","0","1","1","1026"
"County Jails (unapproved)","79","3","42","4","5","0","0","0","0","0","1","0","134"
"Private Prisons","3820","0","1315","0","32","0","6","0","7","0","1","0","5181"
"Regional Correctional Facilities","1698","33","723","27","24","0","5","0","6","0","2","0","2518"
"Community Work Centers","1022","79","446","146","8","4","1","2","0","0","0","0","1708"
"Community Trusties","13","0","3","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","70","9","52","26","1","0","0","0","0","0","0","0","158"
"Court Order","149","10","87","10","0","0","0","0","0","0","0","0","256"
"","13507","791","5900","895","156","11","18","4","22","2","6","1","21313"
"Intensive Supervison Program","628","156","476","227","10","0","3","1","4","0","1","0","1506"
"Earned Release Supervision","924","71","335","47","4","1","2","0","2","0","0","0","1386"
"Medical Release","19","7","10","1","0","0","0","0","0","0","0","0","37"
"Other Custody","156","10","117","15","41","3","1","1","2","0","4","0","350"
"At Large","26","0","13","2","3","0","0","0","0","0","0","0","44"
"Off-Grounds Medical (Hospital)","6","0","2","1","0","0","0","0","0","0","0","0","9"
"TOTAL","15266","1035","6853","1188","214","15","24","6","30","2","11","1","24645"
"% OF TOTAL_offenses","61.94%","4.20%","27.81%","4.82%","0.87%","0.06%","0.10%","0.02%","0.12%","0.01%","0.04%","0.00%","100.00%"
