"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2081","0","940","0","14","0","2","0","3","0","0","0","3040"
"CMCF","1326","405","764","544","15","2","2","3","1","1","0","0","3063"
"SMCI","2112","0","1023","0","37","0","4","0","5","0","0","0","3181"
"County Jails (approved)","730","47","438","82","4","1","1","0","0","0","2","0","1305"
"County Jails (unapproved)","197","3","150","10","4","1","0","0","1","0","1","1","368"
"Private Prisons","3855","0","1269","0","33","0","5","0","9","0","0","0","5171"
"Regional Correctional Facilities","2121","120","1038","150","34","1","2","0","5","1","2","0","3474"
"Community Work Centers","893","65","417","128","7","2","4","0","3","1","0","0","1520"
"Community Trusties","9","0","7","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","44","6","28","18","2","0","0","0","1","0","0","0","99"
"Court Order","214","7","106","12","0","0","0","0","1","0","0","0","340"
"","13582","653","6180","944","150","7","20","3","29","3","5","1","21577"
"Intensive Supervison Program","627","158","557","265","8","2","3","1","2","0","1","1","1625"
"Earned Release Supervision","978","97","400","75","3","1","1","0","0","0","0","0","1555"
"Medical Release","14","4","5","2","0","0","0","0","0","0","0","0","25"
"Other Custody","189","7","136","20","47","4","1","1","2","0","5","0","412"
"At Large","21","0","11","2","3","0","0","0","0","0","0","0","37"
"Off-Grounds Medical (Hospital)","1","0","1","1","0","0","0","0","0","0","0","0","3"
"TOTAL","15412","919","7290","1309","211","14","25","5","33","3","11","2","25234"
"percent_of_total","61.08%","3.64%","28.89%","5.19%",".84%",".06%",".10%",".02%",".13%",".01%",".04%",".01%","100.00%"
