"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2249","0","940","0","35","0","3","0","10","0","2","0","3239"
"CMCF","1607","380","1035","570","27","6","3","1","8","1","0","1","3639"
"SMCI","1859","0","1010","0","34","0","2","0","6","0","0","0","2911"
"County Jails (approved)","368","3","322","5","3","0","0","0","3","0","1","0","705"
"County Jails (unapproved)","147","8","94","14","5","0","0","0","0","0","1","0","269"
"Youthful Offender Facility","34","0","2","0","0","0","0","0","0","0","0","0","36"
"Private Prisons","2248","0","875","0","13","0","7","0","4","0","0","0","3147"
"Regional Correctional Facilities","2351","66","1292","97","44","2","8","0","12","0","0","0","3872"
"Community Work Centers","280","21","203","132","3","1","1","2","2","1","0","0","646"
"Community Trusties","6","0","1","0","0","0","0","0","0","0","0","0","7"
"TVC","40","0","32","0","0","0","0","0","0","0","0","0","72"
"Transitional Housing","7","2","5","7","0","0","0","0","0","0","0","0","21"
"Pending File Review","61","2","32","12","1","0","1","0","1","0","0","0","110"
"RRP","21","4","25","24","0","1","0","0","0","0","0","0","75"
"Court Order","136","11","112","21","1","1","0","0","2","0","0","0","284"
"CUSTODY POPULATION","11414","497","5980","882","166","11","25","3","48","2","4","1","19033"
"Intensive Supervison Program","320","67","258","117","2","2","0","0","1","1","0","1","769"
"Earned Release Supervision","393","24","124","20","1","2","0","1","1","0","0","0","566"
"Medical Release","7","0","7","1","0","0","0","0","0","0","0","0","15"
"Other Custody","233","6","175","22","26","0","1","0","2","0","1","0","466"
"At Large","15","0","5","2","3","0","0","0","0","0","0","0","25"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","3","1","3","3","0","0","0","0","0","0","0","0","10"
"TOTAL","12388","595","6557","1048","198","15","26","4","52","3","5","2","20893"
"percent_of_total","59.29%","2.85%","31.38%","5.02%",".95%",".07%",".12%",".02%",".25%",".01%",".02%",".01%","100.00%"
