"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2,706","2","1,053","1","20","0","2","0","3","0","1","0","3,788"
"CMCF","1,322","572","723","616","19","7","1","2","4","1","1","0","3,268"
"SMCI","1,996","0","1,063","0","46","0","3","0","3","0","0","0","3,111"
"County Jails (approved)","572","60","314","63","5","1","0","0","0","0","1","0","1,016"
"County Jails (unapproved)","155","9","95","7","0","0","0","0","0","0","3","0","269"
"Private Prisons","3,849","0","1,315","0","32","0","6","0","5","0","1","0","5,208"
"Regional Correctional Facilities","1,684","34","745","24","25","0","5","0","7","0","2","0","2,526"
"Community Work Centers","1,023","74","453","145","7","4","2","2","0","1","0","0","1,711"
"Community Trusties","14","0","5","0","0","0","0","0","0","0","0","0","19"
"Pending File Review","54","14","37","20","1","0","0","0","1","0","0","0","127"
"Court Order","124","10","67","9","0","0","0","0","0","0","0","0","210"
"","13,499","775","5,870","885","155","12","19","4","23","2","9","0","21,253"
"Intensive Supervison Program","614","159","495","230","11","0","3","1","2","0","1","0","1,516"
"Earned Release Supervision","949","72","357","49","4","1","1","0","2","0","0","0","1,435"
"Medical Release","20","7","11","2","0","0","0","0","0","0","0","0","40"
"Other Custody","156","10","120","15","39","3","1","1","2","0","4","0","351"
"At Large","25","0","13","2","3","0","0","0","0","0","0","0","43"
"Off-Grounds Medical (Hospital)","6","0","1","1","0","0","0","0","0","0","0","0","8"
"TOTAL","15,269","1,023","6,867","1,184","212","16","24","6","29","2","14","0","24,646"
"% OF TOTAL_offenses","61.95%","4.15%","27.86%","4.80%","0.86%","0.06%","0.10%","0.02%","0.12%","0.01%","0.06%","0.00%","100.00%"
