"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2808","0","1091","0","20","0","2","0","3","0","0","0","3924"
"CMCF","1222","572","724","598","18","9","1","2","4","1","0","0","3151"
"SMCI","1727","0","929","0","47","0","5","0","3","0","0","0","2711"
"County Jails (approved)","578","84","329","88","5","1","0","0","0","0","0","0","1085"
"County Jails (unapproved)","98","9","44","8","3","0","0","0","0","0","0","0","162"
"Private Prisons","4042","0","1430","0","35","0","7","0","7","0","1","0","5522"
"Regional Correctional Facilities","2045","45","836","31","24","0","5","0","6","0","2","0","2994"
"Community Work Centers","967","96","400","146","7","3","2","2","0","0","0","0","1623"
"Community Trusties","13","0","2","0","0","0","0","0","0","0","0","0","15"
"Pending File Review","36","5","25","7","0","0","0","0","0","0","0","0","73"
"Court Order","155","13","71","17","0","0","0","0","0","0","0","0","256"
"CUSTODY POPULATION","13691","824","5881","895","159","13","22","4","23","1","3","0","21516"
"Intensive Supervison Program","543","135","437","201","9","0","1","1","5","0","2","0","1334"
"Earned Release Supervision","963","89","360","53","6","0","1","0","2","0","0","0","1474"
"Medical Release","19","7","8","2","0","0","0","0","0","0","0","0","36"
"Other Custody","154","8","121","13","43","3","0","1","2","0","5","1","351"
"At Large","25","0","14","2","3","0","0","0","0","0","0","0","44"
"Off-Grounds Medical (Hospital)","5","1","3","1","0","0","0","0","0","0","0","0","10"
"TOTAL","15400","1064","6824","1167","220","16","24","6","32","1","10","1","24765"
"% OF TOTAL_offenses","62.18%","4.30%","27.56%","4.71%","0.89%","0.06%","0.10%","0.02%","0.13%","0.00%","0.04%","0.00%","100.00%"
