"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2148","0","1119","1","25","0","1","0","8","0","1","0","3303"
"CMCF","1409","363","848","534","17","7","6","2","5","1","0","1","3193"
"SMCI","1979","0","986","0","25","0","1","0","4","0","0","0","2995"
"County Jails (approved)","371","6","320","23","4","0","1","0","2","0","1","0","728"
"County Jails (unapproved)","171","6","128","11","2","0","0","0","1","0","0","1","320"
"Youthful Offender Facility","25","0","1","0","1","0","0","0","0","0","0","0","27"
"Private Prisons","2206","0","815","0","22","0","6","0","2","0","0","0","3051"
"Regional Correctional Facilities","2317","103","1171","124","50","3","6","0","12","0","0","0","3786"
"Community Work Centers","354","34","237","118","4","4","2","0","3","1","0","0","757"
"Community Trusties","21","0","14","0","0","0","0","0","1","0","0","0","36"
"TVC","0","2","0","0","0","0","0","0","0","0","0","0","2"
"Transitional Housing","3","0","1","0","0","0","0","0","0","0","0","0","4"
"Pending File Review","51","3","39","4","1","0","1","0","1","0","0","0","100"
"Court Order","164","5","111","15","1","0","0","0","0","0","0","0","296"
"","11219","522","5790","830","152","14","24","2","39","2","2","2","18598"
"Intensive Supervison Program","299","70","231","137","2","2","2","1","2","0","2","1","749"
"Earned Release Supervision","427","39","123","34","3","0","0","0","0","0","0","0","626"
"Medical Release","6","0","4","1","0","0","0","0","0","0","0","0","11"
"Other Custody","214","10","202","23","27","1","0","0","4","0","1","0","482"
"At Large","16","0","7","2","3","0","0","0","0","0","0","1","29"
"Bond Monitoring","2","0","0","0","0","0","0","0","0","0","1","0","3"
"Contempt","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"RRP","42","3","40","7","0","0","0","0","0","0","0","0","92"
"Off-Grounds Medical (Hospital)","3","0","2","0","0","0","0","0","0","0","0","0","5"
"TOTAL","12231","644","6405","1035","187","17","26","3","45","2","6","4","20605"
"percent_of_total","59.36%","3.13%","31.08%","5.02%",".91%",".08%",".13%",".01%",".22%",".01%",".03%",".02%","100.00%"
