"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","4020","0","1408","0","21","0","5","0","3","0","0","0","5457"
"CMCF","1081","811","615","493","15","5","4","1","3","3","0","0","3031"
"SMCI","1413","0","635","0","16","0","2","0","4","0","0","0","2070"
"County Jails (approved)","1076","82","614","71","9","2","2","0","1","0","0","0","1857"
"County Jails (unapproved)","93","14","69","14","1","0","1","0","0","0","0","0","192"
"Private Prisons","2593","0","833","0","7","0","3","0","1","0","0","0","3437"
"Regional Correctional Facilities","1957","0","528","0","8","0","0","0","3","0","0","0","2496"
"Community Work Centers","801","78","317","69","3","0","2","0","2","0","1","0","1273"
"Community Trusties","12","0","3","0","0","0","0","0","0","0","0","0","15"
"CUSTODY POPULATION","13046","985","5022","647","80","7","19","1","17","3","1","0","19828"
"Intensive Supervison Program","671","127","510","156","4","2","2","1","2","1","0","0","1476"
"Earned Release Supervision","679","71","258","40","1","0","0","1","0","0","0","0","1050"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","104","8","107","14","4","0","0","0","0","1","0","0","238"
"At Large","55","4","22","5","1","0","0","0","0","0","0","0","87"
"University of MS Medical Center","4","0","6","0","0","0","0","0","0","0","0","0","10"
"TOTAL","14559","1195","5925","862","90","9","21","3","19","5","1","0","22689"
"% of Total Offenses","64.17%","5.27%","26.11%","3.80%","0.40%","0.04%","0.09%","0.01%","0.08%","0.02%","0.00%","0.00%","100.00%"
