"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2192","0","1122","1","23","0","1","0","6","0","0","0","3345"
"CMCF","1370","366","884","522","19","4","4","2","7","3","1","1","3183"
"SMCI","1991","0","1013","28","0","2","0","4","0","0","0","0","3038"
"County Jails (approved)","359","4","297","31","6","0","0","0","1","0","1","0","699"
"County Jails (unapproved)","189","6","131","21","8","0","2","1","0","0","1","1","360"
"Youthful Offender Facility","27","0","3","0","1","0","0","0","0","0","0","0","31"
"Private Prisons","2260","0","825","0","24","0","6","0","2","0","0","0","3117"
"Regional Correctional Facilities","2318","88","1222","124","46","4","7","0","13","0","1","0","3823"
"Community Work Centers","318","36","216","128","4","4","1","0","2","0","0","0","709"
"Community Trusties","24","0","22","0","0","0","0","0","1","0","0","0","47"
"TVC","0","3","0","4","0","0","0","0","0","1","0","0","8"
"Transitional Housing","16","0","10","4","0","0","0","0","0","0","0","0","30"
"Pending File Review","27","1","20","2","0","0","0","0","1","0","0","0","51"
"RRP","40","4","43","9","1","0","0","0","1","0","0","0","98"
"Court Order","134","2","86","11","1","0","0","0","2","0","0","0","236"
"CUSTODY POPULATION","11265","510","5894","885","133","14","21","7","36","4","4","2","18775"
"Intensive Supervison Program","276","67","217","141","4","3","2","1","2","0","2","0","715"
"Earned Release Supervision","442","41","127","29","1","1","0","0","0","0","0","0","641"
"Medical Release","7","0","4","1","0","0","0","0","0","0","0","0","12"
"Other Custody","209","7","192","19","26","1","0","3","0","1","1","0","459"
"At Large","17","0","7","2","3","0","0","0","0","0","1","0","30"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","7","0","2","2","0","0","0","0","0","0","0","0","11"
"TOTAL","12226","625","6448","1080","167","19","23","11","38","5","8","2","20652"
"percent_of_total","59.20%","3.03%","31.22%","5.23%",".81%",".09%",".11%",".05%",".18%",".02%",".04%",".01%","100.00%"
