"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2094","0","968","0","22","0","4","0","5","0","1","0","3094"
"CMCF","797","373","462","403","10","4","2","2","3","1","0","0","2057"
"SMCI","1655","0","927","0","31","0","1","0","7","0","0","0","2621"
"County Jails (approved)","650","24","376","48","5","0","1","0","0","1","0","0","1105"
"County Jails (unapproved)","41","4","17","14","1","1","0","0","1","1","0","0","80"
"Youthful Offender Facility","28","0","6","0","0","0","0","0","0","0","0","0","34"
"Private Prisons","3163","0","1041","0","38","0","8","0","9","0","0","0","4259"
"Regional Correctional Facilities","2697","122","1158","145","34","3","2","0","8","0","0","0","4169"
"Community Work Centers","611","59","306","122","0","1","2","0","1","0","2","0","1104"
"Transitional Housing","1","0","0","0","0","0","0","0","0","0","0","0","1"
"TVC","2","0","0","0","0","0","0","0","0","0","0","0","2"
"Community Trusties","7","0","2","0","0","0","0","0","0","0","0","0","9"
"Pending File Review","53","7","46","12","0","0","0","0","1","0","0","0","119"
"Court Order","113","7","72","12","0","0","0","0","0","1","0","0","205"
"","11912","596","5381","756","141","9","20","2","35","4","3","0","18859"
"Intensive Supervison Program","513","146","413","242","5","5","0","2","4","0","1","1","1332"
"Earned Release Supervision","717","63","234","50","4","0","2","0","1","0","0","0","1071"
"Medical Release","10","0","7","2","0","0","0","0","0","0","0","0","19"
"Other Custody","240","11","184","20","49","6","2","1","3","0","3","0","519"
"At Large","16","0","7","2","3","0","0","0","0","0","0","0","28"
"Off-Grounds Medical (Hospital)","5","0","2","0","0","0","0","0","0","0","0","0","7"
"TOTAL","13413","816","6228","1072","202","20","24","5","43","4","7","1","21835"
"percent_of_total","61.43%","3.74%","28.52%","4.91%",".93%",".09%",".11%",".02%",".20%",".02%",".03%",".00%","100.00%"
