"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2115","0","942","0","20","0","3","0","6","0","2","0","3088"
"CMCF","943","357","528","418","9","3","2","2","1","1","2","0","2266"
"SMCI","1566","0","871","0","38","0","1","0","5","0","0","0","2481"
"County Jails (approved)","515","22","272","41","5","0","0","0","0","1","0","0","856"
"County Jails (unapproved)","188","5","109","22","1","0","0","0","1","0","0","0","326"
"Youthful Offender Facility","18","0","2","0","0","0","0","0","0","0","0","0","20"
"Private Prisons","2960","0","966","0","25","0","8","0","9","0","0","0","3968"
"Regional Correctional Facilities","2681","105","1179","125","33","1","4","0","11","0","0","0","4139"
"Community Work Centers","566","56","320","125","0","2","4","0","1","0","2","0","1076"
"Community Trusties","12","0","4","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","33","4","24","5","0","0","0","0","1","0","1","0","68"
"Court Order","117","6","81","14","1","1","0","0","0","0","0","0","220"
"","11714","555","5298","750","132","7","22","2","35","2","7","0","18524"
"Intensive Supervison Program","448","125","345","211","5","3","2","1","3","0","1","1","1145"
"Earned Release Supervision","590","53","203","30","4","1","0","0","2","0","0","0","883"
"Medical Release","9","0","7","1","0","0","0","0","0","0","0","0","17"
"Other Custody","244","14","182","23","50","6","2","1","4","0","3","0","529"
"At Large","16","0","6","2","3","0","0","0","0","0","0","0","27"
"Off-Grounds Medical (Hospital)","7","1","1","0","0","0","0","0","0","0","0","0","9"
"TOTAL","13028","748","6042","1017","194","17","26","4","44","2","11","1","21134"
"percent_of_total","61.64%","3.54%","28.59%","4.81%",".92%",".08%",".12%",".02%",".21%",".01%",".05%",".00%","100.00%"
