"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2,796","2","1,091","0","18","0","2","0","3","0","0","0","3,912"
"CMCF","1,146","558","687","589","13","8","0","2","3","1","1","0","3,008"
"SMCI","1,986","0","1,043","0","49","0","4","0","2","0","0","0","3,084"
"County Jails (approved)","589","85","319","85","3","1","0","0","0","0","1","0","1,083"
"County Jails (unapproved)","106","5","69","11","4","0","0","0","1","0","3","0","199"
"Private Prisons","3,826","0","1,333","0","32","0","6","0","8","0","1","0","5,206"
"Regional Correctional Facilities","1,828","45","779","30","26","0","5","0","6","0","2","0","2,721"
"Community Work Centers","1,048","80","454","144","8","2","1","2","0","0","0","0","1,739"
"Community Trusties","12","0","4","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","32","5","24","13","0","0","0","0","0","0","0","0","74"
"Court Order","149","10","83","15","0","0","0","0","0","0","0","0","257"
"","13,518","790","5,886","887","153","11","18","4","23","1","8","0","21,299"
"Intensive Supervison Program","597","153","454","215","9","1","3","1","5","0","2","0","1,440"
"Earned Release Supervision","886","79","326","48","5","1","2","0","1","0","0","0","1,348"
"Medical Release","20","7","8","1","0","0","0","0","0","0","0","0","36"
"Other Custody","152","11","118","14","44","3","0","1","2","0","4","0","349"
"At Large","25","0","13","2","3","0","0","0","0","0","0","0","43"
"Off-Grounds Medical (Hospital)","8","0","8","1","0","0","0","0","0","0","0","0","17"
"TOTAL","15,206","1,040","6,813","1,168","214","16","23","6","31","1","14","0","24,532"
"% OF TOTAL_offenses","61.98%","4.24%","27.77%","4.76%","0.87%","0.07%","0.09%","0.02%","0.13%","0.00%","0.06%","0.00%","100.00%"
