"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2,261","0","950","0","29","0","4","0","10","0","2","0","3,256"
"CMCF","1,554","382","1,055","592","27","10","8","3","14","2","1","2","3,650"
"SMCI","1,948","0","1,057","0","36","0","2","0","5","0","0","0","3,048"
"County Jails (approved)","374","1","326","7","6","0","1","0","3","0","1","0","719"
"County Jails (unapproved)","191","6","128","17","5","0","0","0","1","0","0","0","348"
"Youthful Offender Facility","36","0","2","0","0","0","0","0","0","0","0","0","38"
"Private Prisons","2,310","0","904","0","17","0","8","0","3","0","0","0","3,242"
"Regional Correctional Facilities","2,184","82","1,231","115","46","2","6","1","11","0","0","0","3,678"
"Community Work Centers","287","25","207","131","3","3","1","1","2","1","0","0","661"
"Community Trusties","3","0","3","0","0","0","0","0","0","0","0","0","6"
"TVC","28","0","22","0","0","0","0","0","0","0","0","0","50"
"Transitional Housing","12","3","14","7","1","0","0","0","0","0","0","0","37"
"Pending File Review","76","2","49","11","1","0","2","0","1","0","0","0","142"
"RRP","28","6","36","24","0","1","0","0","0","0","0","0","95"
"Court Order","126","2","88","13","0","0","0","0","2","0","0","0","231"
"","11,418","509","6,072","917","171","16","32","5","52","3","4","2","19,201"
"Intensive Supervison Program","326","58","256","128","4","2","0","0","2","1","1","0","778"
"Earned Release Supervision","400","28","128","24","1","1","0","0","1","0","0","0","583"
"Medical Release","7","0","6","1","0","0","0","0","0","0","0","0","14"
"Other Custody","235","6","171","19","24","0","0","0","2","0","1","0","458"
"At Large","15","0","6","2","3","0","0","0","0","0","0","0","26"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","7","0","4","0","0","0","0","0","0","0","0","0","11"
"TOTAL","12,411","601","6,648","1,092","203","19","32","5","57","4","6","2","21,080"
"percent_of_total","58.88%","2.85%","31.54%","5.18%",".96%",".09%",".15%",".02%",".27%",".02%",".03%",".01%","100.00%"
