"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","4177","0","1458","0","38","0","6","0","6","0","0","0","5685"
"CMCF","1093","864","627","557","14","6","5","1","1","6","0","0","3174"
"SMCI","1408","0","729","0","16","0","4","0","6","0","0","0","2163"
"County Jails (approved)","1022","50","650","55","9","1","2","1","2","0","0","0","1792"
"County Jails (unapproved)","101","10","89","20","2","0","0","0","4","0","0","0","226"
"Private Prisons","2536","0","854","0","5","0","4","0","4","0","0","0","3403"
"Regional Correctional Facilities","2018","0","565","0","10","0","0","0","3","0","0","0","2596"
"Community Work Centers","895","91","370","82","8","0","2","0","1","0","1","0","1450"
"Community Trusties","15","0","9","0","1","0","0","0","0","0","0","0","25"
"","13265","1015","5351","714","103","7","23","2","27","6","1","0","20514"
"Intensive Supervison Program","599","121","482","176","4","1","3","2","2","0","0","0","1390"
"Earned Release Supervision","797","80","272","51","4","0","1","1","0","0","0","0","1206"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","96","3","94","8","4","0","0","0","0","0","0","0","205"
"At Large","90","9","43","9","1","0","0","0","0","1","0","0","153"
"University of MS Medical Center","2","2","2","0","0","0","0","0","0","0","0","0","6"
"TOTAL","14849","1230","6244","958","116","8","27","5","29","7","1","0","23474"
"% of Total Offenses","63.26%","5.24%","26.60%","4.08%","0.49%","0.03%","0.12%","0.02%","0.12%","0.03%","0.00%","0.00%","100.00%"
