"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2278","0","983","0","28","0","3","0","7","0","2","0","3301"
"CMCF","1448","377","1093","570","30","9","5","3","19","2","0","1","3557"
"SMCI","1950","0","1043","0","35","0","1","0","5","0","1","0","3035"
"County Jails (approved)","375","0","326","4","4","0","0","0","2","0","1","0","712"
"County Jails (unapproved)","166","9","102","41","3","0","3","0","1","0","0","2","327"
"Youthful Offender Facility","33","0","1","0","1","0","0","0","0","0","0","0","35"
"Private Prisons","2317","0","902","0","21","0","7","0","2","0","0","0","3249"
"Regional Correctional Facilities","2204","84","1209","113","44","2","7","1","12","0","0","0","3676"
"Community Work Centers","299","26","214","118","2","3","1","1","1","1","0","0","666"
"Community Trusties","4","0","2","0","0","0","0","0","0","0","0","0","6"
"TVC","22","0","15","0","0","0","0","0","0","0","0","0","37"
"Transitional Housing","14","1","14","5","1","0","0","0","0","0","0","0","35"
"Pending File Review","83","4","46","11","1","0","0","0","1","0","0","0","146"
"RRP","36","6","46","28","0","1","0","0","0","0","0","0","117"
"Court Order","112","4","99","16","0","0","0","0","1","0","0","0","232"
"","11341","511","6095","906","170","15","27","5","51","3","4","3","19131"
"Intensive Supervison Program","299","68","244","122","3","2","1","0","3","1","1","0","744"
"Earned Release Supervision","398","24","127","19","1","1","0","0","1","0","0","0","571"
"Medical Release","9","0","6","1","0","0","0","0","0","0","0","0","16"
"Other Custody","233","5","166","18","27","0","1","0","2","0","1","0","453"
"At Large","16","0","6","2","3","0","0","0","0","0","0","0","27"
"Conditional Release","1","0","1","1","0","0","0","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","4","0","7","0","0","0","0","0","0","0","0","0","11"
"TOTAL","12303","608","6656","1069","204","18","29","5","57","4","6","3","20962"
"percent_of_total","58.69%","2.90%","31.75%","5.10%",".97%",".09%",".14%",".02%",".27%",".02%",".03%",".01%","100.00%"
