"location","black_male","black_female","white_male","white_female","hispanic_male","hispanic_female","native_american_male","native_american_female","asian_male","asian_female","unknown_male","unknown_female","total"
"MSP","2,149","0","981","1","20","0","4","0","4","0","0","0","3,159"
"CMCF","1,261","511","791","611","22","6","2","3","5","0","0","0","3,212"
"SMCI","2,067","0","1,014","0","41","0","6","0","5","0","0","0","3,133"
"County Jails (approved)","706","54","409","91","2","1","1","0","0","0","0","0","1,264"
"County Jails (unapproved)","158","9","74","12","2","1","1","0","1","0","0","","258"
"Private Prisons","3,855","0","1,224","0","34","0","7","0","3","0","0","0","5,123"
"Regional Correctional Facilities","1,995","26","926","34","30","0","2","0","4","0","2","0","3,019"
"Community Work Centers","892","49","404","138","6","0","1","0","2","0","0","0","1,492"
"Community Trusties","10","0","6","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","48","9","37","10","1","0","1","0","1","0","0","0","107"
"Court Order","169","10","97","25","1","0","0","0","1","1","0","0","304"
"","13,310","668","5,963","922","159","8","25","3","26","1","2","0","21,087"
"Intensive Supervison Program","637","154","578","247","10","1","4","1","7","1","2","0","1,642"
"Earned Release Supervision","933","74","365","66","3","1","1","0","3","0","0","0","1,446"
"Medical Release","21","5","8","3","0","0","0","0","0","0","0","0","37"
"Other Custody","177","9","128","18","41","4","1","1","2","0","5","0","386"
"At Large","22","0","11","2","3","0","0","0","0","0","0","0","38"
"Off-Grounds Medical (Hospital)","7","0","2","1","0","0","0","0","0","0","0","0","10"
"TOTAL","15,107","910","7,055","1,259","216","14","31","5","38","2","9","0","24,646"
"percent_of_total","61.30%","3.69%","28.63%","5.11%",".88%",".06%",".13%",".02%",".15%",".01%",".04%",".00%","100.00%"
